age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
63.101086,Self-emp-not-inc,289457.06,Masters,13.980744,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,43778.473,0.3825322,50.136253,United-States,<=50K
35.869987,Self-emp-not-inc,242839.61,HS-grad,9.015838,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,37221.492,1.5867788,89.93394,South,<=50K
55.063847,Self-emp-not-inc,144667.64,HS-grad,9.011786,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,33001.273,0.24167068,60.22701,United-States,<=50K
55.217373,Self-emp-inc,298727.53,Doctorate,15.95515,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,3.3332343,2181.9763,60.058502,United-States,<=50K
40.9591,Private,178072.6,Doctorate,15.983038,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,15.667097,2052.532,60.03785,United-States,<=50K
63.98128,Private,291985.72,HS-grad,10.025086,Married-civ-spouse,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,10557.52,0.46612749,35.02207,United-States,<=50K
69.9433,Self-emp-inc,378576.16,HS-grad,10.026501,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,10580.767,-0.1878032,40.03394,United-States,<=50K
43.911545,State-gov,106624.09,Doctorate,15.950305,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,5130.379,-1.9538783,60.05279,United-States,<=50K
42.92659,Federal-gov,191572.52,Prof-school,15.0068865,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,18.712996,-0.6907634,59.92245,United-States,<=50K
55.038727,Local-gov,176978.52,Masters,13.966007,Married-civ-spouse,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,-1.8243583,2271.8828,40.02341,United-States,<=50K
64.05357,Private,158773.39,HS-grad,9.010503,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Female,10563.636,0.11480911,40.00142,United-States,<=50K
52.07911,Federal-gov,192407.39,Masters,14.00063,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,5078.19,-0.69207567,39.951973,United-States,<=50K
42.92787,Self-emp-inc,189386.17,Masters,14.01834,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,5057.7686,-0.89861864,44.88746,United-States,<=50K
44.964947,Private,357744.53,Bachelors,13.0083065,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,26.564558,2001.0258,55.247597,United-States,<=50K
57.1652,Self-emp-not-inc,22197.984,Masters,13.994358,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,41.692852,2130.4897,70.273155,United-States,<=50K
49.071194,Private,239985.36,Doctorate,15.931341,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,4.9653144,-1.0217799,59.82026,United-States,<=50K
39.991924,Self-emp-inc,111717.78,Assoc-acdm,11.993711,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,9.633284,2380.743,49.91448,United-States,<=50K
46.848083,Private,193909.44,Doctorate,15.933406,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,29.234968,-1.3219966,60.025803,United-States,<=50K
89.400116,Self-emp-not-inc,156441.05,Bachelors,12.979047,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,10680.658,0.4345418,50.09822,United-States,<=50K
62.03753,Self-emp-not-inc,81223.805,HS-grad,9.009371,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,10584.272,-0.2475032,40.00166,United-States,<=50K
51.100708,Federal-gov,162877.2,Bachelors,12.99466,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,21.378157,1907.014,39.950306,United-States,<=50K
62.05719,Self-emp-inc,236334.22,Bachelors,12.988375,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,5032.257,0.07889755,49.874874,United-States,<=50K
55.206528,Self-emp-inc,305586.3,Prof-school,15.002354,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,-0.8183769,-0.15970413,54.905052,United-States,<=50K
62.08508,Private,161898.4,Prof-school,14.977464,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,25.1295,1632.1487,69.91839,United-States,<=50K
52.099564,Self-emp-inc,181305.23,Prof-school,14.998137,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,26.015364,-0.41285506,39.956623,United-States,<=50K
46.822266,Self-emp-inc,85467.18,Doctorate,15.972857,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,8.334578,-1.161352,49.8942,United-States,<=50K
66.87004,Private,227484.45,Masters,13.953728,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,-10.832537,2461.1758,40.010788,United-States,<=50K
56.377235,State-gov,225080.1,Doctorate,15.91624,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Female,6.2956367,-0.96312517,55.834618,United-States,<=50K
58.968807,Private,168291.94,Bachelors,12.9926605,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,17.708113,2007.8584,50.132137,United-States,<=50K
61.296543,Local-gov,179787.52,Doctorate,15.942729,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,4091.967,-1.0929011,39.96225,United-States,<=50K
37.950954,Private,189481.61,Prof-school,15.01159,Married-civ-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Female,25.345564,-0.637083,39.937798,United-States,<=50K
49.953327,Self-emp-inc,193728.61,Bachelors,12.989262,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,14.380232,1674.7823,47.97741,United-States,<=50K
48.017143,Private,250765.39,Bachelors,13.003497,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,5054.0874,-0.588438,44.886612,United-States,<=50K
49.96577,Private,235192.16,Masters,13.981531,Married-civ-spouse,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,9.537825,1489.3605,39.999798,United-States,<=50K
53.87517,Federal-gov,149856.77,Bachelors,12.986292,Married-civ-spouse,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,4.783674,0.39426622,45.08725,United-States,<=50K
40.952072,Private,254057.9,Prof-school,15.011598,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Female,7.596906,-0.81356615,49.65421,United-States,<=50K
64.143715,Private,193448.77,Prof-school,14.974191,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,19.345564,-0.06275742,59.982094,United-States,<=50K
