model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.803,0.803,0.804,0.805,0.141,0.144,0.144,0.142,21.826,7.375,0.75,0.687,0.742,0.723,0.828,1.2e-05,original,0.002,5,,,,
rf,random,0.688,0.686,0.687,0.688,0.135,0.136,0.137,0.137,33.047,0.68,0.778,0.704,0.754,0.735,0.865,2.8e-05,original,0.002,5,,,,
svc,random,0.815,0.811,0.811,0.816,0.079,0.085,0.085,0.079,13.98,0.004,0.74,0.713,0.779,0.769,0.842,1.9e-05,original,0.002,5,,,,
logreg,random,0.803,0.799,0.799,0.803,0.055,0.057,0.057,0.055,5.103,0.22,0.771,0.731,0.789,0.777,0.855,8e-06,original,0.002,5,,,,
mlp,random,0.746,0.74,0.741,0.746,0.13,0.136,0.136,0.129,5.538,6.446,0.782,0.721,0.774,0.757,0.866,1.2e-05,original,0.002,5,,,,
xgb,k-means,0.989,0.989,0.989,0.989,0.022,0.022,0.022,0.022,8.831,33.445,0.5,0.193,0.092,0.239,0.692,4.2e-05,original,0.002,5,,,,
rf,k-means,0.989,0.989,0.989,0.989,0.022,0.022,0.022,0.022,39.338,0.243,0.5,0.193,0.092,0.239,0.847,7e-06,original,0.002,5,,,,
svc,k-means,0.779,0.777,0.777,0.78,0.089,0.092,0.093,0.092,6.597,0.004,0.796,0.724,0.772,0.755,0.888,1.5e-05,original,0.002,5,,,,
logreg,k-means,0.931,0.93,0.93,0.931,0.043,0.043,0.043,0.043,6.055,0.182,0.729,0.709,0.778,0.77,0.825,6e-06,original,0.002,5,,,,
mlp,k-means,0.768,0.767,0.768,0.768,0.061,0.062,0.062,0.062,9.651,9.106,0.806,0.77,0.822,0.814,0.889,1.2e-05,original,0.002,5,,,,
xgb,ag,0.965,0.965,0.965,0.965,0.047,0.047,0.047,0.047,6.713,6.492,0.56,0.323,0.274,0.336,0.814,1.2e-05,original,0.002,5,,,,
rf,ag,0.919,0.917,0.917,0.918,0.086,0.088,0.089,0.088,21.38,0.142,0.525,0.248,0.169,0.278,0.851,4e-06,original,0.002,5,,,,
svc,ag,0.81,0.798,0.796,0.802,0.078,0.084,0.085,0.08,3.696,0.005,0.811,0.754,0.803,0.79,0.888,7e-06,original,0.002,5,,,,
logreg,ag,0.851,0.848,0.848,0.848,0.081,0.08,0.08,0.08,9.572,0.105,0.731,0.704,0.771,0.76,0.823,7e-06,original,0.002,5,,,,
mlp,ag,0.785,0.775,0.774,0.778,0.069,0.07,0.071,0.07,10.094,4.942,0.808,0.762,0.813,0.802,0.888,2.2e-05,original,0.002,5,,,,
xgb,k_center,0.619,0.617,0.617,0.617,0.054,0.053,0.053,0.053,5.676,10.712,0.724,0.625,0.669,0.644,0.801,4e-06,original,0.002,5,,,,
rf,k_center,0.585,0.579,0.579,0.582,0.07,0.065,0.063,0.066,19.955,0.17,0.778,0.701,0.75,0.731,0.861,5e-06,original,0.002,5,,,,
svc,k_center,0.574,0.5,0.498,0.57,0.039,0.053,0.059,0.044,8.314,0.005,0.51,0.452,0.668,0.765,0.243,2.7e-05,original,0.002,5,,,,
logreg,k_center,0.585,0.547,0.546,0.582,0.093,0.083,0.082,0.092,8.16,0.2,0.565,0.556,0.725,0.791,0.779,1e-05,original,0.002,5,,,,
mlp,k_center,0.442,0.431,0.432,0.442,0.123,0.128,0.128,0.123,14.774,6.301,0.672,0.578,0.623,0.595,0.728,1.6e-05,original,0.002,5,,,,
xgb,craig,0.577,0.571,0.645,0.667,0.199,0.219,0.185,0.172,7.828,43.506,0.605,0.612,0.728,0.74,0.699,5e-06,original,0.002,5,,,,
rf,craig,0.633,0.616,0.684,0.714,0.187,0.214,0.162,0.136,41.16,0.367,0.436,0.438,0.568,0.549,0.421,1.9e-05,original,0.002,5,,,,
svc,craig,0.717,0.685,0.757,0.808,0.194,0.241,0.181,0.127,10.498,0.003,0.562,0.564,0.688,0.694,0.595,9e-06,original,0.002,5,,,,
logreg,craig,0.65,0.629,0.699,0.736,0.226,0.246,0.193,0.168,8.789,0.841,0.562,0.564,0.69,0.697,0.605,1e-05,original,0.002,5,,,,
mlp,craig,0.583,0.552,0.641,0.697,0.129,0.169,0.135,0.115,10.892,5.475,0.55,0.552,0.688,0.704,0.562,2.7e-05,original,0.002,5,,,,
xgb,lc,0.978,0.976,0.976,0.976,0.027,0.029,0.029,0.029,4.889,29.556,0.23,0.249,0.342,0.291,0.15,6e-06,original,0.002,5,,,,
rf,lc,0.944,0.942,0.942,0.943,0.061,0.063,0.063,0.061,14.379,0.205,0.238,0.25,0.332,0.283,0.143,6e-06,original,0.002,5,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.249,0.004,0.23,0.179,0.188,0.179,0.121,5e-06,original,0.002,5,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.177,0.134,0.22,0.17,0.178,0.17,0.112,1e-05,original,0.002,5,,,,
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.255,3.657,0.214,0.19,0.222,0.195,0.125,2.2e-05,original,0.002,5,,,,
xgb,random,0.836,0.835,0.836,0.837,0.071,0.07,0.069,0.068,10.005,36.061,0.758,0.717,0.777,0.763,0.847,8e-06,original,0.002,6,,,,
rf,random,0.85,0.849,0.849,0.849,0.056,0.059,0.06,0.059,26.008,0.499,0.759,0.693,0.747,0.728,0.842,1.8e-05,original,0.002,6,,,,
svc,random,0.874,0.872,0.872,0.872,0.094,0.095,0.095,0.094,12.173,0.012,0.786,0.727,0.779,0.763,0.867,1.6e-05,original,0.002,6,,,,
logreg,random,0.886,0.884,0.884,0.884,0.053,0.053,0.053,0.053,6.671,0.148,0.78,0.739,0.795,0.783,0.868,1.3e-05,original,0.002,6,,,,
mlp,random,0.875,0.872,0.872,0.872,0.068,0.069,0.069,0.069,12.208,3.341,0.792,0.737,0.789,0.774,0.871,2.2e-05,original,0.002,6,,,,
xgb,k-means,0.978,0.976,0.976,0.976,0.044,0.047,0.047,0.047,8.258,4.194,0.5,0.193,0.092,0.239,0.665,2.3e-05,original,0.002,6,,,,
rf,k-means,0.989,0.988,0.988,0.988,0.022,0.024,0.024,0.024,23.865,0.763,0.5,0.193,0.092,0.239,0.832,1.3e-05,original,0.002,6,,,,
svc,k-means,0.733,0.731,0.731,0.732,0.05,0.049,0.049,0.049,7.755,0.005,0.791,0.749,0.804,0.793,0.875,1.5e-05,original,0.002,6,,,,
logreg,k-means,0.879,0.88,0.881,0.884,0.087,0.087,0.086,0.083,6.574,0.012,0.723,0.715,0.788,0.784,0.826,8e-06,original,0.002,6,,,,
mlp,k-means,0.754,0.753,0.754,0.756,0.046,0.046,0.045,0.045,13.131,4.815,0.807,0.772,0.824,0.816,0.89,1.9e-05,original,0.002,6,,,,
xgb,ag,0.953,0.953,0.953,0.954,0.044,0.044,0.044,0.044,7.934,4.048,0.569,0.342,0.301,0.351,0.735,7e-06,original,0.002,6,,,,
rf,ag,0.953,0.953,0.953,0.954,0.044,0.044,0.044,0.044,20.879,0.569,0.527,0.25,0.173,0.28,0.849,1e-05,original,0.002,6,,,,
svc,ag,0.765,0.765,0.766,0.768,0.118,0.118,0.117,0.116,15.464,0.004,0.804,0.744,0.794,0.78,0.882,2.8e-05,original,0.002,6,,,,
logreg,ag,0.786,0.784,0.786,0.79,0.14,0.141,0.14,0.138,23.002,0.262,0.794,0.752,0.805,0.794,0.877,1.1e-05,original,0.002,6,,,,
mlp,ag,0.739,0.738,0.74,0.744,0.123,0.124,0.123,0.122,13.089,3.83,0.801,0.752,0.804,0.792,0.883,1.6e-05,original,0.002,6,,,,
xgb,k_center,0.633,0.627,0.63,0.64,0.078,0.087,0.085,0.076,11.981,14.996,0.723,0.694,0.763,0.751,0.79,1.5e-05,original,0.002,6,,,,
rf,k_center,0.679,0.675,0.677,0.684,0.119,0.118,0.117,0.118,32.695,0.582,0.757,0.682,0.733,0.712,0.838,1.7e-05,original,0.002,6,,,,
svc,k_center,0.575,0.516,0.518,0.58,0.095,0.138,0.144,0.106,8.261,0.005,0.522,0.477,0.682,0.771,0.8,2.3e-05,original,0.002,6,,,,
logreg,k_center,0.614,0.604,0.605,0.616,0.068,0.073,0.075,0.073,5.614,0.391,0.676,0.651,0.729,0.714,0.736,1.3e-05,original,0.002,6,,,,
mlp,k_center,0.554,0.55,0.552,0.558,0.132,0.133,0.136,0.137,13.601,3.905,0.71,0.637,0.691,0.667,0.789,9e-06,original,0.002,6,,,,
xgb,craig,0.623,0.592,0.625,0.669,0.126,0.153,0.125,0.104,10.806,6.529,0.612,0.624,0.744,0.764,0.677,7e-06,original,0.002,6,,,,
rf,craig,0.478,0.46,0.48,0.503,0.186,0.189,0.183,0.193,36.885,0.582,0.597,0.604,0.724,0.737,0.564,3.8e-05,original,0.002,6,,,,
svc,craig,0.527,0.494,0.513,0.553,0.142,0.162,0.163,0.157,6.146,0.002,0.561,0.485,0.533,0.501,0.395,6e-06,original,0.002,6,,,,
logreg,craig,0.5,0.368,0.43,0.583,0.0,0.013,0.041,0.034,9.458,0.157,0.5,0.432,0.657,0.761,0.543,8e-06,original,0.002,6,,,,
mlp,craig,0.433,0.381,0.408,0.461,0.103,0.1,0.094,0.113,10.447,3.271,0.602,0.562,0.637,0.609,0.639,3.6e-05,original,0.002,6,,,,
