model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
xgb,Full-data,0.798,0.815,0.869,0.872,0.004,0.005,0.004,0.004,63.222,0.318,0.802,0.818,0.871,0.875,0.927,1.1e-05,original,,,,,,,
rf,Full-data,0.832,0.781,0.828,0.818,0.002,0.002,0.002,0.002,424.506,18.644,0.83,0.783,0.83,0.82,0.913,6.6e-05,original,,,,,,,
svc,Full-data,0.771,0.789,0.851,0.857,0.004,0.004,0.003,0.002,31712.993,1546.034,0.768,0.785,0.848,0.853,0.883,0.001807,original,,,,,,,
logreg,Full-data,0.766,0.784,0.847,0.853,0.007,0.007,0.005,0.005,43.102,4.998,0.762,0.779,0.844,0.849,0.902,5e-06,original,,,,,,,
mlp,Full-data,0.774,0.787,0.848,0.852,0.005,0.004,0.002,0.003,398.539,797.338,0.775,0.788,0.85,0.853,0.904,2.1e-05,original,,,,,,,
naive_bayes,Full-data,0.722,0.607,0.643,0.62,0.015,0.024,0.028,0.027,15.679,0.061,0.729,0.619,0.659,0.634,0.836,1e-06,original,,,,,,,
knn,Full-data,0.757,0.768,0.835,0.838,0.004,0.004,0.003,0.003,276.08,0.006,0.765,0.774,0.839,0.842,0.878,0.000102,original,,,,,,,
xgb,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,4.278,0.079,0.716,0.69,0.761,0.75,0.817,2e-06,original,10,5,,,,,
rf,random,0.6,0.493,0.493,0.6,0.122,0.196,0.196,0.122,15.547,0.363,0.753,0.726,0.789,0.78,0.841,1e-05,original,10,5,,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,4.42,0.001,0.658,0.628,0.706,0.687,0.408,3e-06,original,10,5,,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.033,0.006,0.694,0.704,0.79,0.796,0.84,9e-06,original,10,5,,,,,
mlp,random,0.75,0.74,0.74,0.75,0.316,0.332,0.332,0.316,7.038,1.245,0.746,0.719,0.784,0.775,0.842,1.5e-05,original,10,5,,,,,
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.868,0.001,0.632,0.608,0.692,0.674,0.697,2e-06,original,10,5,,,,,
knn,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,5.855,0.001,0.573,0.576,0.724,0.766,0.76,2.8e-05,original,10,5,,,,,
xgb,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,4.73,0.064,0.5,0.193,0.092,0.239,0.558,4e-06,original,10,5,,,,,0.5255031585693359
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,15.23,0.387,0.5,0.193,0.092,0.239,0.847,7e-06,original,10,5,,,,,0.5255031585693359
svc,k-means,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,5.836,0.002,0.798,0.75,0.803,0.791,0.878,3e-06,original,10,5,,,,,0.5255031585693359
logreg,k-means,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,6.681,0.006,0.767,0.757,0.82,0.817,0.871,8e-06,original,10,5,,,,,0.5255031585693359
mlp,k-means,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,5.868,1.986,0.799,0.764,0.818,0.809,0.885,1.1e-05,original,10,5,,,,,0.5255031585693359
naive_bayes,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,2.383,0.001,0.742,0.722,0.789,0.782,0.793,2e-06,original,10,5,,,,,0.5255031585693359
knn,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.826,0.001,0.774,0.711,0.764,0.747,0.842,1.2e-05,original,10,5,,,,,0.5255031585693359
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.845,0.09,0.553,0.541,0.712,0.777,0.676,4e-06,original,10,5,,,,,112.45282864570618
rf,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,15.434,0.285,0.575,0.345,0.302,0.355,0.86,6e-06,original,10,5,,,,,112.45282864570618
svc,ag,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,7.456,0.001,0.796,0.736,0.787,0.772,0.875,3e-06,original,10,5,,,,,112.45282864570618
logreg,ag,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,7.125,0.009,0.775,0.75,0.809,0.801,0.876,7e-06,original,10,5,,,,,112.45282864570618
mlp,ag,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,5.713,1.024,0.792,0.754,0.809,0.799,0.878,1.6e-05,original,10,5,,,,,112.45282864570618
naive_bayes,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,6.055,0.001,0.724,0.646,0.698,0.674,0.737,2e-06,original,10,5,,,,,112.45282864570618
knn,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.415,0.001,0.775,0.704,0.755,0.737,0.843,1.7e-05,original,10,5,,,,,112.45282864570618
