model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.798,0.815,0.869,0.872,0.004,0.005,0.004,0.004,76.76,98.133,0.802,0.818,0.871,0.875,0.927,1.1e-05,original,,,,,,
rf,Full-data,0.83,0.78,0.827,0.816,0.002,0.002,0.002,0.002,519.081,19.875,0.83,0.783,0.83,0.82,0.912,3.6e-05,original,,,,,,
svc,Full-data,0.771,0.789,0.851,0.857,0.004,0.004,0.003,0.002,42812.708,1568.062,0.768,0.785,0.848,0.853,0.883,0.001633,original,,,,,,
logreg,Full-data,0.766,0.784,0.847,0.853,0.007,0.007,0.005,0.005,41.298,13.901,0.762,0.779,0.844,0.849,0.902,1.1e-05,original,,,,,,
mlp,Full-data,0.781,0.791,0.85,0.853,0.011,0.006,0.003,0.002,403.697,1519.236,0.779,0.791,0.851,0.855,0.905,2.1e-05,original,,,,,,
xgb,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,15.073,0.15,0.716,0.69,0.761,0.75,0.817,4e-06,original,10,5,,,,
rf,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,18.18,0.304,0.752,0.684,0.738,0.718,0.838,6e-06,original,10,5,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.956,0.001,0.658,0.628,0.706,0.687,0.411,3e-06,original,10,5,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.131,0.222,0.694,0.704,0.79,0.796,0.84,7e-06,original,10,5,,,,
mlp,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,13.17,2.388,0.74,0.717,0.784,0.776,0.838,2.3e-05,original,10,5,,,,
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.764,11.117,0.629,0.62,0.715,0.706,0.739,3e-06,original,10,5,1033.4447462558746,0,3.572942985130088e-07,0.0014760494232177734
rf,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,18.11,0.272,0.753,0.711,0.772,0.758,0.832,7e-06,original,10,5,1033.4447462558746,0,3.572942985130088e-07,0.0014760494232177734
