model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.805,0.804,0.804,0.805,0.059,0.059,0.059,0.059,13.397,41.578,0.777,0.716,0.769,0.752,0.86,8e-06,original,0.01,5,,,,
rf,random,0.781,0.779,0.779,0.781,0.046,0.046,0.046,0.046,6.914,0.863,0.787,0.719,0.77,0.753,0.884,2.4e-05,original,0.01,5,,,,
svc,random,0.795,0.794,0.794,0.795,0.053,0.053,0.053,0.053,2.147,0.018,0.796,0.743,0.795,0.782,0.88,1.7e-05,original,0.01,5,,,,
logreg,random,0.819,0.819,0.819,0.819,0.044,0.044,0.044,0.044,5.472,0.011,0.792,0.74,0.793,0.78,0.878,7e-06,original,0.01,5,,,,
mlp,random,0.819,0.818,0.818,0.819,0.049,0.049,0.049,0.049,4.729,21.984,0.798,0.749,0.801,0.789,0.883,1.2e-05,original,0.01,5,,,,
naive_bayes,random,0.714,0.693,0.693,0.714,0.054,0.07,0.07,0.054,3.082,0.001,0.7,0.573,0.603,0.581,0.764,2e-06,original,0.01,5,,,,
knn,random,0.79,0.789,0.789,0.79,0.071,0.071,0.071,0.071,3.762,0.001,0.771,0.708,0.761,0.743,0.844,3.3e-05,original,0.01,5,,,,
xgb,k-means,0.976,0.976,0.976,0.976,0.021,0.021,0.021,0.021,4.219,0.051,0.646,0.656,0.758,0.767,0.795,6e-06,original,0.01,5,0,0,0,1.0436837673187256
rf,k-means,0.952,0.952,0.952,0.952,0.045,0.045,0.045,0.045,7.369,0.582,0.701,0.72,0.805,0.816,0.867,2.1e-05,original,0.01,5,0,0,0,1.0436837673187256
svc,k-means,0.867,0.866,0.866,0.867,0.049,0.049,0.049,0.049,3.347,0.013,0.747,0.705,0.767,0.752,0.816,1.4e-05,original,0.01,5,0,0,0,1.0436837673187256
logreg,k-means,0.895,0.895,0.895,0.895,0.024,0.025,0.025,0.024,2.549,0.639,0.69,0.661,0.735,0.72,0.781,8e-06,original,0.01,5,0,0,0,1.0436837673187256
mlp,k-means,0.824,0.822,0.822,0.824,0.032,0.033,0.033,0.032,2.794,4.282,0.791,0.757,0.812,0.803,0.871,1.6e-05,original,0.01,5,0,0,0,1.0436837673187256
naive_bayes,k-means,0.705,0.687,0.687,0.705,0.073,0.081,0.081,0.073,2.889,0.002,0.718,0.62,0.663,0.638,0.776,1e-06,original,0.01,5,0,0,0,1.0436837673187256
knn,k-means,0.829,0.828,0.828,0.829,0.059,0.06,0.06,0.059,3.574,0.001,0.788,0.74,0.794,0.781,0.865,1.1e-05,original,0.01,5,0,0,0,1.0436837673187256
xgb,k-means,0.981,0.981,0.981,0.981,0.023,0.023,0.023,0.023,3.453,0.112,0.647,0.662,0.767,0.782,0.793,4e-06,latent,0.01,5,0,0,0,1.0436837673187256
rf,k-means,0.971,0.971,0.971,0.971,0.028,0.028,0.028,0.028,8.291,0.281,0.601,0.613,0.748,0.785,0.813,7e-06,latent,0.01,5,0,0,0,1.0436837673187256
svc,k-means,0.862,0.861,0.861,0.862,0.046,0.047,0.047,0.046,3.079,0.017,0.757,0.711,0.77,0.755,0.83,1.5e-05,latent,0.01,5,0,0,0,1.0436837673187256
logreg,k-means,0.938,0.938,0.938,0.938,0.039,0.039,0.039,0.039,3.259,0.116,0.702,0.686,0.763,0.755,0.804,0.0,latent,0.01,5,0,0,0,1.0436837673187256
mlp,k-means,0.795,0.795,0.795,0.795,0.049,0.049,0.049,0.049,5.572,0.172,0.785,0.74,0.795,0.783,0.868,1.8e-05,latent,0.01,5,0,0,0,1.0436837673187256
naive_bayes,k-means,0.943,0.943,0.943,0.943,0.036,0.036,0.036,0.036,8.504,0.001,0.64,0.659,0.771,0.795,0.789,1e-06,latent,0.01,5,0,0,0,1.0436837673187256
knn,k-means,0.79,0.789,0.789,0.79,0.055,0.055,0.055,0.055,4.41,0.001,0.791,0.733,0.784,0.769,0.871,2e-05,latent,0.01,5,0,0,0,1.0436837673187256
xgb,k-center,0.671,0.67,0.67,0.671,0.028,0.029,0.029,0.028,3.521,19.953,0.762,0.671,0.717,0.695,0.838,1.8e-05,original,0.01,5,0,0,0,0.0014123916625976562
rf,k-center,0.662,0.659,0.659,0.662,0.057,0.06,0.06,0.057,9.007,0.246,0.8,0.713,0.757,0.738,0.883,1.3e-05,original,0.01,5,0,0,0,0.0014123916625976562
svc,k-center,0.657,0.654,0.654,0.657,0.067,0.068,0.068,0.067,4.008,0.022,0.748,0.709,0.771,0.757,0.831,2.2e-05,original,0.01,5,0,0,0,0.0014123916625976562
logreg,k-center,0.695,0.691,0.691,0.695,0.077,0.08,0.08,0.077,3.688,0.005,0.735,0.744,0.817,0.82,0.866,1.1e-05,original,0.01,5,0,0,0,0.0014123916625976562
mlp,k-center,0.6,0.596,0.596,0.6,0.055,0.055,0.055,0.055,4.535,5.601,0.784,0.714,0.765,0.747,0.858,1.8e-05,original,0.01,5,0,0,0,0.0014123916625976562
naive_bayes,k-center,0.6,0.576,0.576,0.6,0.051,0.07,0.07,0.051,6.95,0.001,0.5,0.497,0.652,0.673,0.691,1e-06,original,0.01,5,0,0,0,0.0014123916625976562
knn,k-center,0.59,0.579,0.579,0.59,0.041,0.046,0.046,0.041,5.68,0.001,0.654,0.646,0.736,0.731,0.711,4.7e-05,original,0.01,5,0,0,0,0.0014123916625976562
xgb,k-center,0.69,0.688,0.688,0.69,0.096,0.099,0.099,0.096,7.441,39.352,0.737,0.668,0.723,0.701,0.821,5e-06,latent,0.01,5,0,0,0,0.0014123916625976562
rf,k-center,0.671,0.666,0.666,0.671,0.079,0.086,0.086,0.079,7.932,0.14,0.733,0.728,0.8,0.798,0.854,5e-06,latent,0.01,5,0,0,0,0.0014123916625976562
