age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
35.192398,Private,169709.23,HS-grad,9.011416,Married-spouse-absent,Other-service,Unmarried,Black,Female,26.687971,0.23062332,20.051743,United-States,<=50K
30.873562,Local-gov,379356.03,Prof-school,15.020801,Married-civ-spouse,Prof-specialty,Husband,Other,Female,-40.001484,0.05018051,99.148575,Columbia,<=50K
57.033863,State-gov,398967.2,Bachelors,13.004692,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Female,24.449568,1485.2532,40.006565,China,<=50K
48.852913,?,31208.688,7th-8th,3.9884288,Married-civ-spouse,?,Husband,Other,Female,47.22862,-0.15051071,98.933815,United-States,<=50K
57.38273,Self-emp-not-inc,118446.75,1st-4th,1.9861287,Married-spouse-absent,Craft-repair,Other-relative,Other,Female,94.19713,1573.7177,44.949886,Columbia,<=50K
63.091618,Self-emp-not-inc,289857.47,Masters,13.989827,Married-civ-spouse,Farming-fishing,Husband,Other,Female,42784.023,-0.7906551,50.085133,United-States,<=50K
71.62656,Self-emp-inc,85645.016,5th-6th,3.0395396,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,86.81291,-0.48537245,20.04043,Japan,<=50K
18.861835,Private,473394.16,1st-4th,1.9585932,Never-married,Handlers-cleaners,Other-relative,Other,Female,74.419235,0.4920598,51.80147,Mexico,<=50K
46.0215,Self-emp-inc,283000.38,Assoc-voc,11.000317,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,22.227278,-0.01975052,62.978603,Thailand,<=50K
81.03648,Self-emp-not-inc,122690.64,Bachelors,13.026656,Married-spouse-absent,Prof-specialty,Not-in-family,Other,Female,137.0891,1658.501,3.2524726,Hungary,<=50K
32.06327,Self-emp-not-inc,158423.9,5th-6th,10.030738,Never-married,Craft-repair,Own-child,Other,Female,46.623516,1972.537,79.92876,United-States,<=50K
28.04185,Private,165662.02,7th-8th,4.010398,Married-civ-spouse,Handlers-cleaners,Husband,Other,Female,-9.99782,2180.588,40.00902,Puerto-Rico,<=50K
69.024864,?,260501.33,Prof-school,15.057109,Divorced,?,Not-in-family,Other,Female,70.03612,0.30965623,4.6641207,United-States,<=50K
30.976292,Private,195634.31,Doctorate,16.052355,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,-53.995502,0.3018895,59.949837,China,<=50K
20.212345,?,113209.9,11th,7.048207,Married-spouse-absent,?,Own-child,Asian-Pac-Islander,Female,63.87089,1752.4595,39.981537,South,<=50K
26.95021,Private,1476941.1,5th-6th,9.998261,Married-civ-spouse,Exec-managerial,Husband,Other,Female,-12.58449,0.058015898,39.991295,United-States,<=50K
75.385155,Private,73011.18,Preschool,1.0761651,Never-married,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,75.11961,0.021677092,48.064735,Philippines,<=50K
21.943377,Private,123573.18,Bachelors,13.000813,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,-55.136982,2349.0857,39.995934,India,<=50K
51.91125,Private,230883.84,HS-grad,9.000449,Married-civ-spouse,Machine-op-inspct,Husband,Other,Female,3821.7583,-0.2896861,40.016712,Columbia,<=50K
39.12293,Self-emp-not-inc,160920.03,Doctorate,16.037165,Divorced,Adm-clerical,Other-relative,Other,Female,-51.85793,0.5353413,39.982147,?,<=50K
18.42784,?,304215.44,10th,6.062322,Never-married,?,Own-child,Other,Female,31822.137,0.1657048,31.998636,United-States,<=50K
76.784645,Local-gov,101685.125,7th-8th,4.0142436,Married-civ-spouse,Other-service,Husband,Other,Female,123.67601,-0.12380783,8.002099,Canada,<=50K
78.12211,Private,179856.2,Masters,14.0178795,Married-spouse-absent,Craft-repair,Unmarried,Asian-Pac-Islander,Female,-30.66762,0.16289718,39.99806,South,<=50K
