model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.9,0.899,0.903,0.91,0.122,0.124,0.12,0.111,20.908,9.93,0.827,0.737,0.838,0.819,0.863,4.2e-05,original,0.002,5,,,,
rf,random,0.817,0.81,0.813,0.82,0.162,0.165,0.16,0.157,27.203,0.728,0.753,0.654,0.774,0.741,0.83,2.9e-05,original,0.002,5,,,,
svc,random,0.817,0.8,0.8,0.81,0.097,0.103,0.103,0.097,6.73,0.002,0.743,0.695,0.823,0.807,0.841,3e-06,original,0.002,5,,,,
logreg,random,0.783,0.76,0.76,0.77,0.041,0.033,0.033,0.024,22.111,0.136,0.749,0.65,0.771,0.738,0.815,1e-06,original,0.002,5,,,,
mlp,random,0.667,0.663,0.667,0.67,0.19,0.189,0.187,0.189,10.709,0.029,0.754,0.622,0.735,0.693,0.827,6.6e-05,original,0.002,5,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,12.102,17.046,0.815,0.798,0.892,0.889,0.878,3.1e-05,original,0.002,5,0,0,0,1.7286155223846436
rf,k-means,0.917,0.907,0.907,0.91,0.105,0.116,0.116,0.111,28.834,0.612,0.744,0.718,0.843,0.835,0.85,8.4e-05,original,0.002,5,0,0,0,1.7286155223846436
svc,k-means,0.783,0.757,0.753,0.77,0.113,0.135,0.139,0.129,4.206,0.002,0.761,0.649,0.765,0.73,0.846,2e-06,original,0.002,5,0,0,0,1.7286155223846436
logreg,k-means,0.817,0.807,0.807,0.81,0.186,0.187,0.187,0.185,7.727,0.649,0.761,0.639,0.754,0.715,0.854,0.0,original,0.002,5,0,0,0,1.7286155223846436
mlp,k-means,0.567,0.47,0.459,0.54,0.207,0.246,0.256,0.208,11.733,0.083,0.734,0.614,0.731,0.689,0.847,0.000191,original,0.002,5,0,0,0,1.7286155223846436
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,14.408,23.238,0.823,0.797,0.889,0.885,0.847,4.8e-05,latent,0.002,5,0,0,0,1.7286155223846436
rf,k-means,0.883,0.863,0.86,0.87,0.145,0.174,0.179,0.166,25.102,0.337,0.8,0.798,0.894,0.894,0.899,2.9e-05,latent,0.002,5,0,0,0,1.7286155223846436
svc,k-means,0.817,0.773,0.773,0.81,0.186,0.244,0.244,0.185,11.155,0.002,0.804,0.765,0.868,0.861,0.881,4e-06,latent,0.002,5,0,0,0,1.7286155223846436
logreg,k-means,0.617,0.557,0.553,0.6,0.135,0.166,0.165,0.138,10.654,0.342,0.803,0.75,0.856,0.844,0.888,1e-06,latent,0.002,5,0,0,0,1.7286155223846436
mlp,k-means,0.317,0.247,0.253,0.32,0.2,0.145,0.142,0.194,16.429,0.093,0.795,0.711,0.823,0.801,0.866,0.0002,latent,0.002,5,0,0,0,1.7286155223846436
xgb,k-center,0.767,0.757,0.76,0.77,0.133,0.135,0.131,0.129,8.743,32.752,0.834,0.791,0.882,0.875,0.819,3.3e-05,original,0.002,5,0,0,0,0.002168416976928711
rf,k-center,0.583,0.58,0.587,0.59,0.091,0.085,0.086,0.092,24.545,0.515,0.527,0.254,0.238,0.255,0.779,3.5e-05,original,0.002,5,0,0,0,0.002168416976928711
svc,k-center,0.5,0.368,0.345,0.46,0.158,0.188,0.2,0.166,14.382,0.002,0.5,0.135,0.043,0.156,0.502,4e-06,original,0.002,5,0,0,0,0.002168416976928711
logreg,k-center,0.517,0.46,0.452,0.5,0.162,0.195,0.208,0.17,6.696,0.268,0.492,0.137,0.049,0.156,0.489,0.0,original,0.002,5,0,0,0,0.002168416976928711
mlp,k-center,0.35,0.307,0.293,0.33,0.122,0.158,0.17,0.14,6.85,1.512,0.568,0.367,0.416,0.375,0.598,8.9e-05,original,0.002,5,0,0,0,0.002168416976928711
xgb,k-center,0.583,0.567,0.567,0.58,0.264,0.276,0.276,0.266,14.43,45.95,0.72,0.731,0.863,0.866,0.823,2.6e-05,latent,0.002,5,0,0,0,0.002168416976928711
rf,k-center,0.6,0.556,0.549,0.59,0.122,0.175,0.198,0.156,26.445,0.278,0.63,0.456,0.539,0.483,0.718,3.5e-05,latent,0.002,5,0,0,0,0.002168416976928711
svc,k-center,0.5,0.368,0.345,0.46,0.158,0.188,0.2,0.166,11.759,0.002,0.495,0.134,0.043,0.154,0.406,6e-06,latent,0.002,5,0,0,0,0.002168416976928711
logreg,k-center,0.55,0.52,0.52,0.54,0.172,0.177,0.177,0.166,10.541,0.319,0.489,0.136,0.049,0.155,0.518,1e-06,latent,0.002,5,0,0,0,0.002168416976928711
mlp,k-center,0.333,0.307,0.307,0.33,0.139,0.158,0.16,0.14,7.995,0.042,0.581,0.432,0.521,0.461,0.645,0.000116,latent,0.002,5,0,0,0,0.002168416976928711
xgb,ag,0.883,0.863,0.86,0.87,0.145,0.174,0.179,0.166,9.655,6.346,0.712,0.607,0.732,0.69,0.828,2.3e-05,original,0.002,5,0,0,0,0.002225160598754883
rf,ag,0.867,0.853,0.853,0.86,0.113,0.122,0.122,0.116,24.469,0.524,0.747,0.675,0.8,0.775,0.824,2.9e-05,original,0.002,5,0,0,0,0.002225160598754883
svc,ag,0.817,0.807,0.807,0.81,0.186,0.187,0.187,0.185,6.179,0.002,0.741,0.646,0.77,0.736,0.777,7e-06,original,0.002,5,0,0,0,0.002225160598754883
logreg,ag,0.8,0.766,0.77,0.81,0.187,0.244,0.244,0.185,7.43,0.009,0.823,0.786,0.881,0.874,0.888,1e-06,original,0.002,5,0,0,0,0.002225160598754883
mlp,ag,0.433,0.413,0.42,0.44,0.153,0.177,0.183,0.159,9.626,0.041,0.778,0.676,0.791,0.762,0.869,9e-05,original,0.002,5,0,0,0,0.002225160598754883
xgb,ag,0.867,0.853,0.853,0.86,0.113,0.122,0.122,0.116,9.237,16.811,0.737,0.649,0.774,0.743,0.816,4.1e-05,latent,0.002,5,0,0,0,0.002225160598754883
rf,ag,0.867,0.853,0.853,0.86,0.113,0.122,0.122,0.116,22.868,0.527,0.802,0.798,0.894,0.893,0.89,2.7e-05,latent,0.002,5,0,0,0,0.002225160598754883
svc,ag,0.767,0.763,0.767,0.77,0.207,0.207,0.204,0.204,8.356,0.002,0.783,0.677,0.79,0.76,0.866,1.1e-05,latent,0.002,5,0,0,0,0.002225160598754883
logreg,ag,0.867,0.863,0.867,0.87,0.172,0.174,0.169,0.166,9.62,0.111,0.806,0.776,0.877,0.871,0.9,1e-06,latent,0.002,5,0,0,0,0.002225160598754883
mlp,ag,0.617,0.616,0.623,0.63,0.113,0.112,0.117,0.125,11.207,2.519,0.782,0.716,0.83,0.813,0.861,0.000196,latent,0.002,5,0,0,0,0.002225160598754883
xgb,lc,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,9.977,14.098,0.34,0.108,0.052,0.115,0.104,4.6e-05,original,0.002,5,0,0,0,0.0023097991943359375
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,38.505,0.579,0.306,0.173,0.184,0.174,0.19,1.1e-05,original,0.002,5,0,0,0,0.0023097991943359375
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.498,0.002,0.271,0.113,0.089,0.114,0.139,3e-06,original,0.002,5,0,0,0,0.0023097991943359375
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.865,0.124,0.31,0.102,0.054,0.108,0.119,0.0,original,0.002,5,0,0,0,0.0023097991943359375
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.976,1.731,0.293,0.21,0.26,0.217,0.213,5.6e-05,original,0.002,5,0,0,0,0.0023097991943359375
xgb,lc,0.933,0.917,0.913,0.92,0.133,0.167,0.173,0.16,7.355,4.609,0.328,0.233,0.285,0.24,0.283,4.9e-05,latent,0.002,5,0,0,0,0.0023097991943359375
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.984,0.521,0.293,0.104,0.063,0.108,0.137,2.3e-05,latent,0.002,5,0,0,0,0.0023097991943359375
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.189,0.001,0.259,0.12,0.106,0.12,0.145,5e-06,latent,0.002,5,0,0,0,0.0023097991943359375
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.009,0.256,0.278,0.11,0.08,0.112,0.127,1e-06,latent,0.002,5,0,0,0,0.0023097991943359375
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.418,0.155,0.303,0.198,0.232,0.201,0.217,7.9e-05,latent,0.002,5,0,0,0,0.0023097991943359375
xgb,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,5.815,0.329,0.458,0.385,0.505,0.434,0.463,2.2e-05,original,0.002,5,0,0,0,0.0017354488372802734
rf,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,18.032,0.247,0.5,0.458,0.774,0.845,0.5,1e-05,original,0.002,5,0,0,0,0.0017354488372802734
svc,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,5.5,0.001,0.5,0.134,0.042,0.155,0.363,2e-06,original,0.002,5,0,0,0,0.0017354488372802734
logreg,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,8.992,0.374,0.5,0.134,0.042,0.155,0.582,0.0,original,0.002,5,0,0,0,0.0017354488372802734
mlp,craig,0.45,0.317,0.4,0.467,0.1,0.033,0.133,0.067,11.247,0.147,0.579,0.388,0.448,0.401,0.65,0.000245,original,0.002,5,0,0,0,0.0017354488372802734
xgb,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,8.315,7.727,0.475,0.217,0.192,0.218,0.46,1.8e-05,latent,0.002,5,0,0,0,0.0017354488372802734
rf,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,25.183,0.26,0.5,0.134,0.042,0.155,0.5,1e-05,latent,0.002,5,0,0,0,0.0017354488372802734
svc,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,4.971,0.001,0.5,0.134,0.042,0.155,0.402,3e-06,latent,0.002,5,0,0,0,0.0017354488372802734
logreg,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,7.8,0.144,0.5,0.134,0.042,0.155,0.497,1e-06,latent,0.002,5,0,0,0,0.0017354488372802734
mlp,craig,0.25,0.183,0.267,0.267,0.224,0.153,0.249,0.226,8.744,0.041,0.533,0.253,0.234,0.254,0.627,6.2e-05,latent,0.002,5,0,0,0,0.0017354488372802734
xgb,random,0.933,0.917,0.913,0.92,0.133,0.167,0.173,0.16,12.655,5.716,0.835,0.792,0.883,0.876,0.853,3.8e-05,original,0.002,6,,,,
rf,random,0.9,0.899,0.903,0.91,0.122,0.124,0.12,0.111,38.891,0.579,0.743,0.637,0.758,0.721,0.824,3.4e-05,original,0.002,6,,,,
svc,random,0.85,0.823,0.82,0.83,0.133,0.16,0.165,0.154,7.404,0.002,0.732,0.606,0.722,0.677,0.789,3e-06,original,0.002,6,,,,
logreg,random,0.85,0.823,0.82,0.83,0.133,0.16,0.165,0.154,6.964,0.074,0.776,0.658,0.771,0.736,0.837,1e-06,original,0.002,6,,,,
mlp,random,0.85,0.823,0.82,0.83,0.133,0.16,0.165,0.154,13.456,0.037,0.748,0.641,0.761,0.725,0.804,6e-05,original,0.002,6,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.374,5.47,0.807,0.805,0.897,0.897,0.873,2.6e-05,original,0.002,6,0,0,0,0.002399444580078125
rf,k-means,0.8,0.768,0.783,0.82,0.187,0.23,0.205,0.157,29.477,0.213,0.751,0.693,0.818,0.8,0.829,1.9e-05,original,0.002,6,0,0,0,0.002399444580078125
svc,k-means,0.817,0.8,0.8,0.81,0.097,0.103,0.103,0.097,11.113,0.002,0.791,0.786,0.887,0.886,0.867,3e-06,original,0.002,6,0,0,0,0.002399444580078125
logreg,k-means,0.817,0.8,0.8,0.81,0.097,0.103,0.103,0.097,9.297,0.236,0.808,0.812,0.902,0.903,0.872,0.0,original,0.002,6,0,0,0,0.002399444580078125
mlp,k-means,0.767,0.757,0.76,0.77,0.133,0.135,0.131,0.129,14.774,0.085,0.79,0.779,0.882,0.88,0.881,0.000173,original,0.002,6,0,0,0,0.002399444580078125
xgb,k-means,0.9,0.899,0.903,0.91,0.122,0.124,0.12,0.111,6.396,6.004,0.781,0.778,0.883,0.882,0.833,7.1e-05,latent,0.002,6,0,0,0,0.002399444580078125
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,32.104,1.283,0.797,0.792,0.89,0.889,0.892,4.7e-05,latent,0.002,6,0,0,0,0.002399444580078125
svc,k-means,0.783,0.733,0.733,0.77,0.163,0.219,0.219,0.16,6.894,0.001,0.791,0.719,0.831,0.813,0.873,3e-06,latent,0.002,6,0,0,0,0.002399444580078125
logreg,k-means,0.783,0.767,0.767,0.77,0.163,0.161,0.161,0.16,7.575,0.624,0.779,0.728,0.842,0.829,0.874,1e-06,latent,0.002,6,0,0,0,0.002399444580078125
mlp,k-means,0.583,0.53,0.533,0.58,0.204,0.23,0.231,0.196,13.368,0.254,0.738,0.658,0.784,0.756,0.814,6.1e-05,latent,0.002,6,0,0,0,0.002399444580078125
xgb,k-center,0.9,0.877,0.873,0.88,0.133,0.166,0.172,0.16,5.783,6.158,0.835,0.792,0.883,0.876,0.834,5.6e-05,original,0.002,6,0,0,0,0.0017099380493164062
rf,k-center,0.667,0.61,0.599,0.64,0.139,0.192,0.211,0.159,30.434,0.677,0.692,0.493,0.572,0.519,0.865,4.2e-05,original,0.002,6,0,0,0,0.0017099380493164062
svc,k-center,0.5,0.381,0.358,0.46,0.0,0.099,0.122,0.049,4.169,0.002,0.498,0.145,0.061,0.162,0.454,4e-06,original,0.002,6,0,0,0,0.0017099380493164062
logreg,k-center,0.617,0.567,0.56,0.59,0.187,0.195,0.195,0.183,5.278,0.008,0.497,0.137,0.048,0.157,0.495,0.0,original,0.002,6,0,0,0,0.0017099380493164062
mlp,k-center,0.4,0.343,0.347,0.4,0.133,0.143,0.148,0.138,5.27,0.046,0.585,0.326,0.34,0.327,0.731,8.8e-05,original,0.002,6,0,0,0,0.0017099380493164062
xgb,k-center,0.867,0.833,0.827,0.84,0.163,0.204,0.212,0.196,9.64,5.786,0.83,0.79,0.883,0.876,0.866,3.1e-05,latent,0.002,6,0,0,0,0.0017099380493164062
rf,k-center,0.8,0.77,0.767,0.78,0.113,0.135,0.14,0.129,39.218,0.855,0.838,0.777,0.871,0.86,0.886,3.6e-05,latent,0.002,6,0,0,0,0.0017099380493164062
svc,k-center,0.5,0.314,0.291,0.46,0.0,0.023,0.051,0.049,4.444,0.001,0.5,0.135,0.043,0.156,0.413,5e-06,latent,0.002,6,0,0,0,0.0017099380493164062
logreg,k-center,0.617,0.547,0.54,0.59,0.1,0.131,0.129,0.092,5.0,0.298,0.494,0.135,0.046,0.155,0.512,1e-06,latent,0.002,6,0,0,0,0.0017099380493164062
mlp,k-center,0.333,0.26,0.253,0.32,0.105,0.09,0.098,0.112,18.391,0.036,0.547,0.242,0.211,0.245,0.725,7.8e-05,latent,0.002,6,0,0,0,0.0017099380493164062
xgb,ag,0.967,0.96,0.96,0.96,0.067,0.08,0.08,0.08,8.518,9.663,0.797,0.8,0.896,0.896,0.878,3.5e-05,original,0.002,6,0,0,0,0.002170085906982422
rf,ag,0.817,0.773,0.773,0.81,0.186,0.244,0.244,0.185,26.769,0.806,0.727,0.676,0.809,0.791,0.808,3.9e-05,original,0.002,6,0,0,0,0.002170085906982422
svc,ag,0.833,0.81,0.807,0.82,0.139,0.165,0.169,0.157,3.314,0.002,0.803,0.774,0.875,0.869,0.878,5e-06,original,0.002,6,0,0,0,0.002170085906982422
logreg,ag,0.783,0.757,0.753,0.77,0.113,0.135,0.139,0.129,5.396,0.114,0.793,0.789,0.889,0.888,0.896,0.0,original,0.002,6,0,0,0,0.002170085906982422
mlp,ag,0.75,0.697,0.686,0.73,0.158,0.23,0.251,0.191,11.314,0.084,0.779,0.77,0.878,0.876,0.876,0.00011,original,0.002,6,0,0,0,0.002170085906982422
xgb,ag,0.917,0.907,0.907,0.91,0.105,0.116,0.116,0.111,5.587,18.013,0.772,0.778,0.885,0.886,0.86,2.7e-05,latent,0.002,6,0,0,0,0.002170085906982422
rf,ag,0.933,0.917,0.913,0.92,0.133,0.167,0.173,0.16,18.653,0.214,0.811,0.798,0.892,0.89,0.895,3.6e-05,latent,0.002,6,0,0,0,0.002170085906982422
svc,ag,0.783,0.757,0.753,0.77,0.113,0.135,0.139,0.129,6.768,0.001,0.806,0.759,0.863,0.853,0.883,4e-06,latent,0.002,6,0,0,0,0.002170085906982422
logreg,ag,0.783,0.763,0.76,0.77,0.194,0.207,0.21,0.204,8.353,0.123,0.776,0.749,0.862,0.856,0.891,1e-06,latent,0.002,6,0,0,0,0.002170085906982422
mlp,ag,0.6,0.544,0.532,0.58,0.255,0.294,0.304,0.266,9.51,3.79,0.777,0.704,0.82,0.8,0.87,0.000144,latent,0.002,6,0,0,0,0.002170085906982422
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.861,5.449,0.345,0.355,0.538,0.464,0.232,5.8e-05,original,0.002,6,0,0,0,0.0017056465148925781
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,30.806,0.679,0.288,0.308,0.475,0.393,0.188,3.6e-05,original,0.002,6,0,0,0,0.0017056465148925781
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.701,0.002,0.201,0.136,0.164,0.138,0.124,1e-06,original,0.002,6,0,0,0,0.0017056465148925781
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.402,0.332,0.225,0.14,0.16,0.141,0.13,1e-06,original,0.002,6,0,0,0,0.0017056465148925781
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.219,0.09,0.245,0.231,0.332,0.259,0.179,9.2e-05,original,0.002,6,0,0,0,0.0017056465148925781
xgb,lc,0.867,0.827,0.827,0.86,0.194,0.259,0.259,0.196,6.951,30.275,0.339,0.304,0.421,0.345,0.299,8.1e-05,latent,0.002,6,0,0,0,0.0017056465148925781
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40.918,0.5,0.266,0.27,0.401,0.32,0.155,2.5e-05,latent,0.002,6,0,0,0,0.0017056465148925781
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.416,0.001,0.238,0.206,0.284,0.222,0.167,4e-06,latent,0.002,6,0,0,0,0.0017056465148925781
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.233,0.144,0.259,0.221,0.301,0.238,0.175,1e-06,latent,0.002,6,0,0,0,0.0017056465148925781
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.805,0.042,0.287,0.268,0.38,0.304,0.219,6.4e-05,latent,0.002,6,0,0,0,0.0017056465148925781
xgb,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,14.641,5.602,0.5,0.458,0.774,0.845,0.531,5.7e-05,original,0.002,6,0,0,0,0.0015816688537597656
rf,craig,0.4,0.25,0.233,0.367,0.2,0.129,0.133,0.194,37.689,1.435,0.5,0.458,0.774,0.845,0.527,5.1e-05,original,0.002,6,0,0,0,0.0015816688537597656
svc,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,11.182,0.001,0.5,0.458,0.774,0.844,0.365,2e-06,original,0.002,6,0,0,0,0.0015816688537597656
logreg,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,6.109,0.344,0.5,0.458,0.774,0.845,0.677,1e-06,original,0.002,6,0,0,0,0.0015816688537597656
mlp,craig,0.25,0.183,0.2,0.267,0.224,0.153,0.163,0.226,7.416,0.033,0.477,0.439,0.599,0.534,0.465,6.1e-05,original,0.002,6,0,0,0,0.0015816688537597656
xgb,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,7.851,3.86,0.491,0.468,0.763,0.811,0.431,1.9e-05,latent,0.002,6,0,0,0,0.0015816688537597656
rf,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,22.63,0.629,0.455,0.453,0.664,0.624,0.436,8.4e-05,latent,0.002,6,0,0,0,0.0015816688537597656
svc,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,11.472,0.002,0.5,0.458,0.774,0.845,0.577,3e-06,latent,0.002,6,0,0,0,0.0015816688537597656
logreg,craig,0.6,0.48,0.507,0.633,0.2,0.261,0.259,0.194,7.542,0.116,0.5,0.458,0.774,0.845,0.554,1e-06,latent,0.002,6,0,0,0,0.0015816688537597656
mlp,craig,0.4,0.28,0.373,0.433,0.2,0.142,0.225,0.226,11.677,0.11,0.494,0.47,0.651,0.599,0.466,9.3e-05,latent,0.002,6,0,0,0,0.0015816688537597656
xgb,random,0.817,0.807,0.807,0.81,0.186,0.187,0.187,0.185,5.851,6.045,0.78,0.738,0.851,0.841,0.767,4.1e-05,original,0.002,7,,,,
rf,random,0.6,0.573,0.573,0.59,0.226,0.233,0.233,0.222,26.222,1.312,0.799,0.728,0.837,0.82,0.867,3.2e-05,original,0.002,7,,,,
svc,random,0.55,0.448,0.425,0.51,0.187,0.235,0.252,0.203,7.237,0.001,0.605,0.367,0.402,0.371,0.5,3e-06,original,0.002,7,,,,
logreg,random,0.567,0.51,0.507,0.55,0.122,0.14,0.139,0.118,8.85,0.137,0.769,0.711,0.829,0.813,0.825,0.0,original,0.002,7,,,,
mlp,random,0.583,0.567,0.567,0.58,0.264,0.276,0.276,0.266,11.995,0.023,0.689,0.572,0.694,0.645,0.754,5.2e-05,original,0.002,7,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.315,12.361,0.814,0.796,0.89,0.887,0.857,2.2e-05,original,0.002,7,0,0,0,0.0016689300537109375
rf,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,21.679,0.136,0.736,0.722,0.85,0.846,0.86,7e-06,original,0.002,7,0,0,0,0.0016689300537109375
svc,k-means,0.867,0.827,0.827,0.86,0.194,0.259,0.259,0.196,6.164,0.002,0.803,0.764,0.867,0.859,0.885,3e-06,original,0.002,7,0,0,0,0.0016689300537109375
logreg,k-means,0.867,0.827,0.827,0.86,0.194,0.259,0.259,0.196,5.006,0.113,0.807,0.774,0.875,0.869,0.877,0.0,original,0.002,7,0,0,0,0.0016689300537109375
mlp,k-means,0.683,0.637,0.64,0.68,0.122,0.167,0.167,0.112,9.258,0.042,0.778,0.711,0.827,0.809,0.854,0.000137,original,0.002,7,0,0,0,0.0016689300537109375
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.993,6.556,0.78,0.751,0.862,0.856,0.812,7.7e-05,latent,0.002,7,0,0,0,0.0016689300537109375
rf,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,23.103,0.594,0.819,0.801,0.893,0.89,0.896,3.7e-05,latent,0.002,7,0,0,0,0.0016689300537109375
svc,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,5.504,0.002,0.798,0.731,0.841,0.825,0.868,5e-06,latent,0.002,7,0,0,0,0.0016689300537109375
logreg,k-means,0.8,0.767,0.767,0.8,0.245,0.291,0.291,0.245,10.215,0.11,0.802,0.762,0.866,0.857,0.876,1e-06,latent,0.002,7,0,0,0,0.0016689300537109375
mlp,k-means,0.533,0.487,0.502,0.55,0.135,0.164,0.153,0.118,9.716,0.152,0.789,0.733,0.845,0.831,0.861,0.000204,latent,0.002,7,0,0,0,0.0016689300537109375
xgb,k-center,0.85,0.852,0.856,0.86,0.2,0.199,0.197,0.196,9.759,37.94,0.545,0.255,0.233,0.256,0.808,7.9e-05,original,0.002,7,0,0,0,0.0016977787017822266
rf,k-center,0.717,0.709,0.716,0.73,0.067,0.064,0.061,0.068,41.493,0.994,0.489,0.174,0.114,0.183,0.738,5.9e-05,original,0.002,7,0,0,0,0.0016977787017822266
svc,k-center,0.617,0.534,0.526,0.6,0.113,0.192,0.208,0.138,8.51,0.001,0.493,0.134,0.044,0.154,0.514,3e-06,original,0.002,7,0,0,0,0.0016977787017822266
logreg,k-center,0.683,0.64,0.64,0.68,0.207,0.244,0.244,0.211,6.729,0.165,0.487,0.136,0.049,0.154,0.511,1e-06,original,0.002,7,0,0,0,0.0016977787017822266
mlp,k-center,0.517,0.507,0.507,0.51,0.122,0.122,0.122,0.128,10.409,0.032,0.605,0.386,0.433,0.393,0.692,4.9e-05,original,0.002,7,0,0,0,0.0016977787017822266
xgb,k-center,0.5,0.45,0.453,0.5,0.167,0.188,0.19,0.17,16.542,6.487,0.778,0.682,0.797,0.77,0.847,9.5e-05,latent,0.002,7,0,0,0,0.0016977787017822266
rf,k-center,0.517,0.509,0.516,0.53,0.162,0.182,0.188,0.178,28.439,0.56,0.587,0.359,0.395,0.363,0.814,1.4e-05,latent,0.002,7,0,0,0,0.0016977787017822266
svc,k-center,0.6,0.547,0.547,0.59,0.097,0.131,0.131,0.092,14.61,0.001,0.494,0.136,0.048,0.156,0.466,5e-06,latent,0.002,7,0,0,0,0.0016977787017822266
logreg,k-center,0.633,0.627,0.627,0.63,0.215,0.216,0.216,0.218,6.008,0.175,0.482,0.135,0.05,0.153,0.532,1e-06,latent,0.002,7,0,0,0,0.0016977787017822266
mlp,k-center,0.383,0.32,0.313,0.37,0.113,0.124,0.133,0.125,16.635,0.043,0.521,0.363,0.43,0.378,0.516,6.8e-05,latent,0.002,7,0,0,0,0.0016977787017822266
xgb,ag,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.472,5.089,0.813,0.802,0.895,0.893,0.863,6.4e-05,original,0.002,7,0,0,0,0.009790420532226562
rf,ag,0.933,0.917,0.913,0.92,0.133,0.167,0.173,0.16,41.276,0.465,0.775,0.697,0.814,0.792,0.855,2.2e-05,original,0.002,7,0,0,0,0.009790420532226562
svc,ag,0.8,0.77,0.767,0.78,0.113,0.135,0.14,0.129,5.563,0.002,0.788,0.778,0.882,0.88,0.885,2e-06,original,0.002,7,0,0,0,0.009790420532226562
