age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
26.940434,Private,210771.16,Preschool,0.7157415,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,43798.652,-1.7113811,24.130285,Mexico,<=50K
19.119997,Private,189794.23,HS-grad,8.9776945,Never-married,Other-service,Own-child,White,Female,34839.613,-0.6760036,19.9857,United-States,<=50K
55.03544,Local-gov,175517.33,Masters,14.0139475,Married-civ-spouse,Prof-specialty,Wife,White,Female,80.90904,2276.533,40.11299,United-States,<=50K
43.94409,State-gov,108877.84,Doctorate,16.001492,Married-civ-spouse,Prof-specialty,Husband,White,Male,5068.5986,-0.63734543,60.159916,United-States,<=50K
44.95632,Private,357110.25,Bachelors,12.991628,Married-civ-spouse,Sales,Husband,White,Male,30.548199,2008.1368,55.050987,United-States,<=50K
46.965424,Private,193759.38,Doctorate,15.994692,Married-civ-spouse,Sales,Husband,White,Male,58.878277,0.29439434,60.105328,United-States,<=50K
56.88892,Private,264853.84,Prof-school,14.975073,Married-civ-spouse,Prof-specialty,Husband,White,Male,62.86839,-0.17909351,60.183655,United-States,<=50K
41.040123,Private,253328.62,Prof-school,14.981465,Married-civ-spouse,Sales,Husband,White,Male,55.653667,-0.03491321,50.125,United-States,<=50K
66.96513,Private,72062.95,Some-college,10.009889,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,10445.619,0.05673871,15.1241455,United-States,<=50K
50.088017,Private,234142.47,Masters,14.008619,Married-civ-spouse,Exec-managerial,Wife,White,Female,66.43126,1481.8341,40.11536,United-States,<=50K
48.006702,Private,248765.36,Bachelors,12.991291,Married-civ-spouse,Exec-managerial,Husband,White,Male,5007.67,-0.26812854,45.189777,United-States,<=50K
51.02896,Private,160459.06,Doctorate,15.982925,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,51.66612,-0.68840134,99.074394,South,<=50K
54.924557,Self-emp-inc,223037.19,Masters,13.998163,Married-civ-spouse,Exec-managerial,Husband,White,Male,34.647564,-0.20280567,60.0835,United-States,<=50K
46.00108,Private,314680.47,Some-college,10.000963,Married-civ-spouse,Sales,Husband,White,Male,24.503277,2049.6094,50.005974,United-States,<=50K
28.037502,Local-gov,250527.55,Masters,14.014881,Married-civ-spouse,Prof-specialty,Wife,White,Female,59.918316,1902.3882,55.049343,United-States,<=50K
49.03791,Private,99903.086,Prof-school,14.980436,Married-civ-spouse,Prof-specialty,Husband,White,Male,60.991558,-0.35721698,45.171703,United-States,<=50K
66.9294,Private,248828.53,Some-college,10.009896,Married-civ-spouse,Sales,Husband,White,Male,6742.63,-0.56587327,40.064484,United-States,<=50K
43.036507,Private,222421.03,Assoc-acdm,11.9975,Married-civ-spouse,Exec-managerial,Husband,White,Male,45.59312,2005.3739,44.200382,United-States,<=50K
44.994392,Private,121340.27,Masters,14.003482,Married-civ-spouse,Exec-managerial,Husband,White,Male,4414.6826,-0.32151142,40.102913,United-States,<=50K
