age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30.026434,Private,163834.36,HS-grad,9.001498,Married-civ-spouse,Craft-repair,Husband,White,Male,4.7982,-0.20139877,40.029053,United-States,<=50K
39.00402,Private,1453075.0,Assoc-acdm,11.974692,Separated,Craft-repair,Not-in-family,White,Male,-20.056902,0.61938673,40.0151,United-States,<=50K
89.9773,?,77165.586,HS-grad,8.999596,Widowed,?,Not-in-family,White,Female,-0.7468437,4344.2573,40.027786,United-States,<=50K
62.993202,Self-emp-not-inc,796835.94,1st-4th,1.9811267,Widowed,Other-service,Unmarried,White,Female,-29.184954,0.15209396,29.993492,El-Salvador,<=50K
16.987108,?,659751.5,11th,6.9974427,Never-married,?,Own-child,Black,Female,-9.816057,0.00010116476,40.02991,Trinadad&Tobago,<=50K
80.044235,Local-gov,81697.26,1st-4th,1.9762658,Widowed,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,1126.989,-0.07194321,20.048534,Philippines,<=50K
26.960793,Private,211103.62,Preschool,0.94825727,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,41398.74,-0.0543956,24.048145,Mexico,<=50K
36.023304,Self-emp-not-inc,240253.53,HS-grad,8.999161,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,41453.08,-0.16769974,90.006424,South,<=50K
56.98693,Private,107160.08,Assoc-voc,10.999796,Divorced,Other-service,Other-relative,Asian-Pac-Islander,Female,-10.498552,-0.11095993,40.035244,Outlying-US(Guam-USVI-etc),<=50K
57.00411,Self-emp-not-inc,118824.64,1st-4th,1.9690417,Widowed,Craft-repair,Other-relative,White,Female,7.976667,1599.9001,45.029274,Columbia,<=50K
71.95784,Private,268870.1,7th-8th,3.980202,Widowed,Other-service,Not-in-family,White,Female,-8.252214,-0.07911484,98.86968,?,<=50K
71.00184,Self-emp-not-inc,493021.97,Some-college,9.99808,Separated,Sales,Unmarried,Black,Male,-10.83095,1814.7207,2.0092437,United-States,<=50K
81.07395,?,120677.36,Assoc-voc,10.99872,Divorced,?,Unmarried,White,Female,-14.481585,-0.096952364,1.0078095,?,<=50K
37.997902,Private,402453.12,1st-4th,1.9847144,Divorced,Farming-fishing,Unmarried,White,Male,4.2172675,-0.14504807,40.02031,Thailand,<=50K
81.00584,Self-emp-not-inc,124197.95,Bachelors,12.992213,Widowed,Prof-specialty,Not-in-family,White,Female,-28.981829,1666.3389,2.9669921,Hungary,<=50K
50.031654,Private,334500.22,Prof-school,15.00583,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,-4.4563165,1584.4462,25.037188,China,<=50K
24.058615,State-gov,208790.27,Doctorate,16.008917,Never-married,Prof-specialty,Not-in-family,White,Female,-5.5986505,-0.15900986,99.123886,England,<=50K
59.970963,Private,258741.53,Doctorate,16.003113,Separated,Priv-house-serv,Unmarried,White,Female,-8.202288,-0.13371079,30.012934,Nicaragua,<=50K
