age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
47.96592,Private,143534.72,HS-grad,9.004271,Never-married,Machine-op-inspct,Not-in-family,Black,Male,12.455061,-1.0089701,39.98523,United-States,<=50K
32.99629,Private,348417.3,5th-6th,2.987191,Married-spouse-absent,Transport-moving,Unmarried,Other,Male,11.238752,-0.85148424,19.987968,El-Salvador,<=50K
23.989801,State-gov,209178.7,Doctorate,16.018837,Never-married,Prof-specialty,Not-in-family,White,Female,10.687239,-1.5142268,98.78102,England,<=50K
43.531727,Self-emp-not-inc,191129.38,Some-college,10.01726,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,-3.0814385,1.9432393,80.13367,France,<=50K
24.956758,Private,456189.1,1st-4th,2.0495336,Married-civ-spouse,Farming-fishing,Husband,White,Male,20.191267,-1.7573451,96.11381,Mexico,<=50K
73.12774,Local-gov,115469.945,5th-6th,2.9750583,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,11.580061,0.7581273,24.929005,Philippines,<=50K
78.462944,Private,455390.66,1st-4th,1.9216956,Widowed,Handlers-cleaners,Other-relative,White,Male,-24.828508,8.072817,20.225414,Nicaragua,<=50K
46.614506,Private,665271.94,Bachelors,12.981064,Married-civ-spouse,Other-service,Husband,White,Male,-9.892717,3.5438633,40.153355,El-Salvador,<=50K
18.102413,Private,631256.5,Some-college,10.003395,Married-spouse-absent,Adm-clerical,Other-relative,White,Female,-0.24428023,1.5335485,40.18838,Peru,<=50K
90.04831,Federal-gov,309083.0,Masters,13.976419,Divorced,Prof-specialty,Not-in-family,White,Male,-54.935566,0.54998976,98.94789,United-States,<=50K
80.17152,Self-emp-not-inc,31072.39,7th-8th,3.9726474,Married-spouse-absent,Farming-fishing,Unmarried,White,Male,17.020857,-0.1730632,15.161078,United-States,<=50K
28.047272,Private,97150.59,1st-4th,2.0005968,Married-spouse-absent,Other-service,Own-child,Other,Female,30.015974,-3.549963,34.855118,Dominican-Republic,<=50K
35.038258,Private,143415.27,Bachelors,13.002735,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,17.753279,-2.3971615,39.933243,Philippines,<=50K
42.9128,Private,44420.203,5th-6th,2.980738,Separated,Other-service,Other-relative,White,Female,24.776594,-0.14162247,39.962383,El-Salvador,<=50K
39.89136,Private,564349.25,Preschool,1.0857381,Married-civ-spouse,Other-service,Husband,White,Male,17.916365,1676.3281,40.134834,Mexico,<=50K
71.24897,Self-emp-not-inc,495388.53,Some-college,9.996616,Separated,Sales,Unmarried,Black,Male,-6.9183526,1836.4662,1.934266,United-States,<=50K
34.902164,Local-gov,665055.7,Bachelors,12.97632,Married-civ-spouse,Exec-managerial,Husband,White,Male,14.688093,1747.3036,79.98333,United-States,<=50K
19.996037,?,144515.28,Some-college,10.018308,Never-married,?,Own-child,Asian-Pac-Islander,Female,28.298079,1607.5078,39.805195,Taiwan,<=50K
63.919216,State-gov,109274.53,1st-4th,1.9622496,Married-civ-spouse,Farming-fishing,Husband,Other,Male,22.16319,1.0037328,45.26039,Columbia,<=50K
43.233162,Private,143096.17,5th-6th,3.0113194,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,49.728863,2128.2368,71.84843,?,<=50K
72.075226,Private,184645.75,HS-grad,8.99532,Married-civ-spouse,Exec-managerial,Wife,White,Female,5.503034,1.7280217,50.32364,England,<=50K
24.930143,State-gov,154325.16,Bachelors,13.004948,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Female,27.693953,1713.7577,14.844033,United-States,<=50K
27.09539,State-gov,270997.47,Some-college,10.008315,Divorced,Adm-clerical,Unmarried,Black,Male,12.344587,-0.97849077,40.053368,Jamaica,<=50K
56.960945,Private,133048.62,7th-8th,3.9754446,Divorced,Craft-repair,Unmarried,White,Male,-10.78554,1428.9822,40.198067,France,<=50K
18.954178,Private,217244.22,HS-grad,9.028273,Never-married,Handlers-cleaners,Other-relative,Other,Female,15.954206,-1.8766154,60.086216,Guatemala,<=50K
25.974533,Self-emp-inc,66864.516,12th,7.999758,Married-civ-spouse,Sales,Husband,Other,Male,33.31834,-5.64237,97.71308,Dominican-Republic,<=50K
81.20797,?,121995.94,Assoc-voc,11.023387,Divorced,?,Unmarried,White,Female,4.7795234,3.002962,0.8638772,?,<=50K
17.258917,?,662415.1,11th,6.9498687,Never-married,?,Own-child,Black,Female,1.5040108,2.966936,40.44101,Trinadad&Tobago,<=50K
53.862667,Private,122448.09,Doctorate,16.000824,Married-spouse-absent,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,-9.030169,1.8369695,20.019043,India,<=50K
57.18332,State-gov,229425.73,Bachelors,13.015349,Married-civ-spouse,Exec-managerial,Husband,Other,Male,20.492414,1579.8185,36.81179,United-States,<=50K
65.03126,Private,188038.11,Masters,14.00493,Married-civ-spouse,Prof-specialty,Husband,White,Male,20359.242,-0.49263564,39.99885,Germany,>50K
34.943893,Private,226085.94,Doctorate,16.00012,Married-spouse-absent,Prof-specialty,Not-in-family,Other,Male,7.0071845,-1.0389766,60.233215,England,>50K
76.776985,Self-emp-not-inc,75263.39,7th-8th,3.9668176,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,-1.6753105,2.2701664,20.198315,Italy,>50K
36.709072,Private,52300.36,Doctorate,15.950914,Married-civ-spouse,Prof-specialty,Husband,White,Male,-1.101458,1.547022,98.8193,France,>50K
31.962559,Private,99368.164,5th-6th,2.9947612,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,19.66368,-1.5499705,39.983974,Laos,>50K
23.024092,State-gov,89978.45,Some-college,10.010875,Never-married,Protective-serv,Not-in-family,Other,Female,100040.71,-3.8314037,39.799957,United-States,>50K
57.16962,Private,105340.42,Some-college,10.003197,Married-spouse-absent,Sales,Own-child,Asian-Pac-Islander,Female,20.70091,-2.7408123,90.4478,United-States,>50K
42.072815,Self-emp-inc,203501.2,Prof-school,15.003104,Married-civ-spouse,Prof-specialty,Husband,White,Male,100010.984,-1.9976939,98.73357,United-States,>50K
