age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34.99759,Private,170032.4,HS-grad,8.998749,Married-spouse-absent,Other-service,Unmarried,Black,Female,0.05515824,-0.34760848,20.003479,United-States,<=50K
89.81407,?,77016.3,HS-grad,9.001621,Widowed,?,Not-in-family,White,Female,18.599836,4337.653,40.00763,United-States,<=50K
26.844807,Private,1493214.4,Some-college,10.00204,Married-civ-spouse,Exec-managerial,Husband,White,Male,-4.9810967,-0.36911574,40.002594,United-States,<=50K
24.985214,Private,458861.16,1st-4th,1.9979457,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.14060746,-0.38645735,96.2561,Mexico,<=50K
58.009796,Self-emp-inc,182064.28,Doctorate,16.00426,Never-married,Prof-specialty,Not-in-family,White,Female,6.4136786,-0.22915451,99.00003,?,<=50K
80.088455,Local-gov,81773.555,1st-4th,1.9939307,Widowed,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,1087.6301,-0.36438552,19.99049,Philippines,<=50K
42.974514,Private,143703.3,5th-6th,3.007661,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,8.509504,2120.921,72.01845,?,<=50K
63.006958,Self-emp-not-inc,797824.4,1st-4th,1.9797906,Widowed,Other-service,Unmarried,White,Female,-3.0706964,-0.40160933,30.010275,El-Salvador,<=50K
16.777622,?,658826.0,11th,6.9975724,Never-married,?,Own-child,Black,Female,5.150129,-0.2760295,40.020214,Trinadad&Tobago,<=50K
57.011497,Self-emp-not-inc,20658.062,Masters,13.998983,Married-civ-spouse,Sales,Husband,White,Male,2.8513007,2127.249,69.985756,United-States,<=50K
32.971973,Federal-gov,615752.56,Masters,14.008431,Married-civ-spouse,Transport-moving,Husband,Black,Male,2.8993964,-0.36361495,40.011837,Nicaragua,<=50K
31.93775,Private,28033.406,Some-college,9.993296,Never-married,Machine-op-inspct,Other-relative,White,Female,-2.3828301,2206.7163,40.001217,Holand-Netherlands,<=50K
78.03271,?,83769.84,7th-8th,3.9973557,Married-civ-spouse,?,Husband,White,Male,4.412336,-0.30178633,40.010998,Portugal,<=50K
33.011063,State-gov,119725.28,Doctorate,16.002184,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,6.0519843,-0.35678664,50.0195,Hong,<=50K
81.10601,Self-emp-not-inc,124282.6,Bachelors,13.000885,Widowed,Prof-specialty,Not-in-family,White,Female,7.703962,1658.037,2.9193542,Hungary,<=50K
22.00392,Private,248339.98,5th-6th,2.994559,Never-married,Priv-house-serv,Not-in-family,White,Male,2.535871,-0.35583296,49.998787,Guatemala,<=50K
35.981865,Self-emp-not-inc,240084.11,HS-grad,9.001935,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,41449.145,-0.009450837,89.59624,South,<=50K
64.980995,Private,109246.46,7th-8th,4.014023,Widowed,Priv-house-serv,Not-in-family,White,Female,5.978864,3166.115,60.00505,Puerto-Rico,<=50K
