age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
62.82214,Self-emp-not-inc,286666.3,Masters,13.99307,Married-civ-spouse,Farming-fishing,Husband,Black,Female,42345.863,-0.9335689,50.04676,United-States,<=50K
36.06825,Self-emp-not-inc,235585.39,HS-grad,8.908457,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,42047.617,-0.42788497,90.00594,South,<=50K
54.935226,Self-emp-not-inc,144498.94,HS-grad,8.944651,Divorced,Exec-managerial,Not-in-family,Black,Female,34382.39,-0.1105098,60.3779,United-States,<=50K
55.137596,Self-emp-inc,299397.4,Doctorate,16.020197,Married-civ-spouse,Prof-specialty,Husband,Black,Female,-71.43849,2184.0898,60.06099,United-States,<=50K
41.04069,Private,176586.42,Doctorate,16.005249,Married-civ-spouse,Prof-specialty,Husband,Black,Female,-26.581682,2057.233,60.154175,United-States,<=50K
63.921455,Private,289928.8,1st-4th,9.980153,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,10782.217,0.30283555,35.163025,United-States,<=50K
55.08251,Local-gov,175663.77,Masters,14.008012,Married-civ-spouse,Prof-specialty,Own-child,Black,Female,-29.701311,2266.523,39.979706,United-States,<=50K
67.06771,Private,227608.22,Masters,14.007647,Married-civ-spouse,Prof-specialty,Husband,Black,Female,-1.2329277,2459.0854,39.96276,United-States,<=50K
69.76687,Self-emp-inc,376087.7,1st-4th,9.992356,Married-civ-spouse,Sales,Husband,Black,Female,10612.386,0.26819047,39.999725,United-States,<=50K
43.117485,Federal-gov,189564.69,Prof-school,15.017074,Married-civ-spouse,Exec-managerial,Husband,Black,Female,-43.06545,0.556223,60.051968,United-States,<=50K
35.19637,Federal-gov,206826.98,Doctorate,16.000343,Married-civ-spouse,Prof-specialty,Husband,Black,Female,7.5988593,0.34153947,55.11544,Canada,<=50K
51.01731,Federal-gov,163668.69,Bachelors,13.00682,Married-civ-spouse,Exec-managerial,Husband,Black,Female,-58.79616,1902.2753,39.9383,United-States,<=50K
52.027386,Federal-gov,192348.47,Masters,13.997516,Married-civ-spouse,Exec-managerial,Husband,Black,Female,5091.174,0.24544723,39.95593,United-States,<=50K
26.856493,Private,208403.27,Preschool,0.78842336,Married-civ-spouse,Farming-fishing,Other-relative,Black,Female,41913.293,-0.50285906,24.355179,Mexico,<=50K
58.982662,Private,169779.62,Bachelors,13.001206,Married-civ-spouse,Exec-managerial,Husband,Black,Female,-32.756733,2004.8523,49.98225,United-States,<=50K
90.00286,Self-emp-not-inc,156138.38,Bachelors,13.00339,Married-civ-spouse,Prof-specialty,Husband,Black,Female,10442.736,0.22220047,49.943005,United-States,<=50K
55.11692,Self-emp-inc,305761.5,Prof-school,15.024872,Married-civ-spouse,Prof-specialty,Husband,Black,Female,-26.85927,0.4023839,55.03243,United-States,<=50K
42.994713,Self-emp-inc,188035.6,Masters,13.993853,Married-civ-spouse,Exec-managerial,Husband,Black,Female,5027.7437,0.26519975,45.013,United-States,<=50K
63.91333,Private,159977.08,HS-grad,8.985026,Married-civ-spouse,Handlers-cleaners,Husband,Black,Female,10509.244,0.27592668,40.00408,United-States,<=50K
51.027603,Self-emp-not-inc,268178.78,1st-4th,9.998792,Married-civ-spouse,Prof-specialty,Own-child,Black,Female,-37.932514,2061.8325,60.016796,Canada,<=50K
39.90624,Self-emp-inc,110974.56,Assoc-acdm,12.001333,Married-civ-spouse,Craft-repair,Husband,Black,Female,11.256575,2369.9766,49.992867,United-States,<=50K
47.108963,Self-emp-inc,84923.22,Doctorate,16.005373,Married-civ-spouse,Prof-specialty,Husband,Black,Female,11.324324,0.53347975,50.04427,United-States,<=50K
44.031013,State-gov,107487.08,Doctorate,16.005272,Married-civ-spouse,Prof-specialty,Husband,Black,Female,5032.6987,0.33668718,60.166634,United-States,<=50K
36.17923,Private,358082.53,Doctorate,15.999441,Married-civ-spouse,Prof-specialty,Husband,Black,Female,31.7451,0.2551442,50.13339,Canada,<=50K
57.14156,Private,265866.84,Prof-school,15.019319,Married-civ-spouse,Prof-specialty,Husband,Black,Female,-6.002703,0.36225328,60.030228,United-States,<=50K
56.161537,Private,246022.95,Doctorate,16.009192,Married-civ-spouse,Prof-specialty,Husband,Black,Female,10.369123,0.35357866,50.08022,United-States,<=50K
44.933422,Private,357209.25,Bachelors,13.006672,Married-civ-spouse,Sales,Husband,Black,Female,-19.246965,2005.5039,55.103794,United-States,<=50K
59.106693,Private,385813.6,Doctorate,16.011452,Married-civ-spouse,Prof-specialty,Husband,Black,Female,5.3488593,0.36559495,50.042015,United-States,<=50K
49.130894,Private,262574.25,Prof-school,15.019692,Married-civ-spouse,Prof-specialty,Husband,Black,Female,4.7709785,0.32650957,48.104275,United-States,<=50K
49.14624,Private,238454.05,Doctorate,16.009727,Married-civ-spouse,Sales,Husband,Black,Female,12.552595,0.4451085,60.102955,United-States,<=50K
52.06987,Self-emp-inc,179706.67,Prof-school,15.024039,Married-civ-spouse,Exec-managerial,Husband,Black,Female,-17.422503,0.46357164,39.99419,United-States,<=50K
48.02015,Private,248283.52,Bachelors,13.00028,Married-civ-spouse,Exec-managerial,Husband,Black,Female,5026.454,0.19885452,45.02334,United-States,<=50K
35.165028,Federal-gov,105172.51,Prof-school,15.008458,Married-civ-spouse,Prof-specialty,Husband,Black,Female,18.336042,0.38093004,55.00849,United-States,<=50K
54.02319,Federal-gov,149737.22,Bachelors,13.003697,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,-29.25844,0.61248976,45.0113,United-States,<=50K
56.09408,Private,158376.9,Masters,13.998383,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,-6.34096,0.5780125,50.059322,United-States,<=50K
38.088085,Private,233683.28,Bachelors,12.99218,Divorced,Exec-managerial,Not-in-family,Black,Female,7019.8237,-0.084470674,60.24685,United-States,<=50K
49.99683,Self-emp-inc,193768.81,Bachelors,13.005012,Married-civ-spouse,Exec-managerial,Husband,Black,Female,-61.814594,1673.8384,48.006683,United-States,<=50K
50.98076,Private,154406.3,1st-4th,10.014707,Married-civ-spouse,Handlers-cleaners,Husband,Black,Female,-6.0031915,2609.5486,39.958897,United-States,<=50K
47.149208,Private,192370.06,Doctorate,16.007576,Married-civ-spouse,Sales,Husband,Black,Female,18.41136,0.47396287,60.11487,United-States,<=50K
64.03586,Private,192781.92,Prof-school,15.0178385,Married-civ-spouse,Exec-managerial,Husband,Black,Female,-14.7141285,0.5098515,60.037945,United-States,<=50K
42.142136,Private,170624.95,Prof-school,15.011904,Married-civ-spouse,Prof-specialty,Husband,Black,Female,14.479109,0.3903447,60.087044,United-States,<=50K
34.117966,Private,293420.47,Masters,13.991061,Married-civ-spouse,Exec-managerial,Husband,Black,Female,3.2521796,0.2852498,50.130863,France,<=50K
44.10454,Private,145741.36,Doctorate,16.002277,Married-civ-spouse,Prof-specialty,Husband,Black,Female,27.415022,0.40305528,50.112885,United-States,<=50K
61.98267,Private,161764.34,Prof-school,15.016292,Married-civ-spouse,Prof-specialty,Husband,Black,Female,-65.523575,1629.0043,69.995514,United-States,<=50K
55.055447,Self-emp-inc,223065.34,Masters,14.000981,Married-civ-spouse,Exec-managerial,Husband,Black,Female,-22.760027,0.49728593,59.98817,United-States,<=50K
61.85186,Self-emp-not-inc,82415.93,HS-grad,8.987845,Married-civ-spouse,Craft-repair,Husband,Black,Female,10369.239,0.29779252,39.950783,United-States,<=50K
38.143353,Private,349379.75,Prof-school,15.013146,Married-civ-spouse,Prof-specialty,Husband,Black,Female,16.963362,0.27839097,60.036713,United-States,<=50K
57.060764,Self-emp-not-inc,20396.39,Masters,13.997456,Married-civ-spouse,Sales,Husband,Black,Female,7.4789863,2130.9104,70.07105,United-States,<=50K
46.138084,Private,250493.16,Doctorate,16.004297,Married-civ-spouse,Prof-specialty,Husband,Black,Female,2.853498,0.37075242,69.99729,United-States,<=50K
51.07555,Private,122249.73,Masters,13.992224,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,5142.7925,0.22313125,40.025894,India,<=50K
35.95604,Private,368497.2,HS-grad,8.984378,Married-civ-spouse,Prof-specialty,Husband,Black,Female,-1.7381767,2370.7,59.99578,United-States,<=50K
49.115955,Private,99236.484,Prof-school,15.013747,Married-civ-spouse,Prof-specialty,Husband,Black,Female,21.456038,0.42393693,45.04232,United-States,<=50K
50.069305,Private,234593.53,Masters,14.001228,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,-65.77272,1488.2893,40.050842,United-States,<=50K
43.961643,Private,120200.42,Bachelors,12.994039,Married-civ-spouse,Exec-managerial,Husband,Black,Female,4995.3804,0.27353868,45.02544,United-States,<=50K
32.00239,Local-gov,185852.66,Bachelors,12.992854,Married-civ-spouse,Prof-specialty,Own-child,Black,Female,5217.184,0.051759794,45.080902,United-States,<=50K
61.884132,Self-emp-inc,235163.06,Bachelors,13.004571,Married-civ-spouse,Exec-managerial,Husband,Black,Female,5080.861,0.2427922,50.0039,United-States,<=50K
