age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
29.004078,Private,201388.0,HS-grad,9.003876,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,1.7824532,0.39744768,49.934593,United-States,<=50K
80.90977,Self-emp-not-inc,124027.86,Bachelors,13.00048,Widowed,Prof-specialty,Not-in-family,White,Female,8.294661,1666.2406,2.9455535,Hungary,<=50K
77.98917,Private,454439.38,1st-4th,1.9829167,Widowed,Handlers-cleaners,Other-relative,White,Male,7.3266425,0.1320668,19.963995,Nicaragua,<=50K
64.99664,Private,109462.32,7th-8th,4.001826,Widowed,Priv-house-serv,Not-in-family,White,Female,9.099348,3167.3225,59.985016,Puerto-Rico,<=50K
45.04201,Private,1369343.9,Assoc-voc,11.003143,Divorced,Other-service,Not-in-family,White,Female,-7.5500665,0.14648636,7.908189,United-States,<=50K
60.04282,Private,259088.55,Doctorate,16.001312,Separated,Priv-house-serv,Unmarried,White,Female,3.4433417,0.22979935,29.99643,Nicaragua,<=50K
90.15098,Federal-gov,311396.9,Masters,14.000206,Divorced,Prof-specialty,Not-in-family,White,Male,8.268415,-0.068700716,98.95724,United-States,<=50K
53.022396,Private,224840.25,5th-6th,2.9808104,Married-civ-spouse,Priv-house-serv,Wife,Black,Female,2.6569648,0.22894485,9.963561,Haiti,<=50K
89.94196,?,225057.9,Some-college,9.994408,Never-married,?,Own-child,Asian-Pac-Islander,Male,-18.298845,0.005540923,9.990159,South,<=50K
53.99329,Self-emp-not-inc,94328.22,9th,4.989391,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Female,10.8796215,2155.383,15.021041,United-States,<=50K
27.004137,Private,210988.53,Preschool,0.99878675,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,41383.652,0.13225754,23.973827,Mexico,<=50K
64.96401,Local-gov,146385.44,Masters,13.999036,Married-civ-spouse,Prof-specialty,Husband,White,Male,3.5267158,1645.2655,3.9168746,Greece,<=50K
41.01963,Private,470616.03,1st-4th,2.0021408,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,5.7325263,1721.861,40.01178,Mexico,<=50K
18.040537,?,261367.16,Some-college,10.001349,Never-married,?,Own-child,Black,Female,9.399153,1603.3356,39.99437,Cambodia,<=50K
25.974197,Federal-gov,56716.61,Prof-school,15.006216,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,-16.573748,0.17225845,19.990961,South,<=50K
24.005466,State-gov,209136.05,Doctorate,16.016111,Never-married,Prof-specialty,Not-in-family,White,Female,12.009993,0.08358963,98.93061,England,<=50K
32.004543,Private,112031.375,Preschool,1.0195998,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,4524.356,0.09427078,40.014027,Cambodia,<=50K
80.01827,Local-gov,81749.0,1st-4th,1.9780711,Widowed,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,1266.6409,0.31741533,19.951302,Philippines,<=50K
53.036674,Private,591568.94,Doctorate,16.010035,Never-married,Prof-specialty,Unmarried,White,Female,2.8984199,1405.6796,39.99342,United-States,<=50K
35.957745,Self-emp-not-inc,240173.8,HS-grad,9.013185,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,41852.44,-0.38213912,90.23493,South,<=50K
65.730865,?,186205.58,Some-college,9.993101,Widowed,?,Unmarried,Black,Female,10.20738,4359.7583,39.992924,United-States,<=50K
19.963392,?,114852.945,11th,6.997883,Married-spouse-absent,?,Own-child,Asian-Pac-Islander,Female,-16.740496,1758.4438,40.034718,South,<=50K
28.003435,?,173821.77,Bachelors,12.999602,Married-spouse-absent,?,Not-in-family,Asian-Pac-Islander,Female,13.048079,-0.02656357,10.041982,Taiwan,<=50K
32.992443,Federal-gov,617022.25,Masters,14.0171175,Married-civ-spouse,Transport-moving,Husband,Black,Male,2.6779609,-0.28397933,40.039085,Nicaragua,<=50K
20.06458,?,273883.38,Some-college,9.992016,Never-married,?,Other-relative,Black,Male,33923.445,-0.017377779,10.01588,United-States,<=50K
40.016438,Self-emp-not-inc,163360.17,5th-6th,2.9828455,Married-civ-spouse,Craft-repair,Husband,Other,Male,4.8231025,0.1576329,7.924756,Guatemala,<=50K
67.09517,Private,166494.2,HS-grad,8.999354,Divorced,Priv-house-serv,Unmarried,Black,Female,1792.909,0.017976835,98.99719,United-States,<=50K
28.962496,Private,564316.1,Preschool,1.0007867,Never-married,Prof-specialty,Not-in-family,Black,Male,-11.754534,0.35859117,40.062607,South,<=50K
72.994736,Self-emp-not-inc,233886.75,HS-grad,9.013056,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,3.8741279,2458.9763,40.044544,Vietnam,<=50K
17.042452,?,659452.25,11th,6.993138,Never-married,?,Own-child,Black,Female,8.206892,0.06061752,40.019524,Trinadad&Tobago,<=50K
71.0024,Local-gov,303649.72,Masters,13.995385,Widowed,Exec-managerial,Not-in-family,White,Male,2048.1013,0.1218663,19.983644,United-States,<=50K
45.011265,Private,129373.02,9th,4.9981036,Separated,Other-service,Unmarried,Other,Female,10.175764,0.18526657,39.984825,Trinadad&Tobago,<=50K
71.0287,Private,158444.61,5th-6th,2.9935572,Married-civ-spouse,Prof-specialty,Husband,White,Male,3.2967353,0.19088943,39.99544,Hungary,<=50K
80.89779,Private,114545.19,9th,5.0003934,Widowed,Priv-house-serv,Not-in-family,Black,Female,2042.5217,0.11168869,4.89063,United-States,<=50K
32.05227,Private,27676.688,Some-college,9.999183,Never-married,Machine-op-inspct,Other-relative,White,Female,11.802839,2196.9978,40.01275,Holand-Netherlands,<=50K
