Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3.852369,162.58237,-0.016158186,-0.31586653,61.937164,4325.334,0.00068094546,0.002669281,245.78754,-0.0019564268,Oct,4,1,8,2,New_Visitor,False,False
1.9976059,21.936367,-0.021910392,0.6402492,24.7291,263.73328,-0.0004094358,0.0073231785,77.6213,-0.0012690885,Nov,2,2,7,2,New_Visitor,False,False
0.97329104,5.9116817,-0.015652858,0.61259645,15.303246,364.63562,-0.000309639,0.0023608904,70.157135,-0.0015015168,Nov,8,13,9,20,Other,False,False
0.9809369,4.846626,-0.0124038085,-0.1733876,164.96213,5731.229,0.0034992264,0.009048826,52.37806,-0.00087108585,Nov,2,2,1,1,Returning_Visitor,False,False
2.0048335,23.881207,-0.005594931,0.4177112,4.553887,64.55208,7.213805e-05,0.009219716,32.978687,-0.001095408,Nov,2,4,4,5,New_Visitor,False,False
2.0325363,17.209637,-0.014007531,0.54630846,2.6947484,263.6358,-0.00017128732,0.04020109,49.779312,-0.0012842132,Nov,2,2,5,5,New_Visitor,False,False
3.988594,44.829197,-0.021388195,0.5279636,65.87206,2543.4158,-0.0001786783,0.016414342,62.8893,-0.0012227682,Nov,4,1,2,2,Returning_Visitor,False,False
1.9926791,124.24707,-0.012288712,0.4191112,18.434298,953.27765,0.010399886,0.018278696,217.84439,-0.0017200647,Dec,1,1,3,2,Returning_Visitor,False,False
3.9718294,45.63947,2.001173,45.129818,30.187275,994.77856,-0.00023180094,0.0054895347,40.252296,-0.0009239477,Nov,2,2,4,2,New_Visitor,False,False
-0.02651202,1.8990016,-0.020878755,0.11540787,16.259577,681.1057,-0.00032406332,0.0048269806,29.402374,-0.00068958226,Nov,3,2,3,2,New_Visitor,True,False
2.0590622,68.190186,-0.021860264,1.0943393,14.274633,472.46002,0.00022007678,0.0063363565,166.3861,-0.0014228163,June,1,1,1,5,New_Visitor,True,False
2.9827068,33.78706,-0.023372851,0.38525194,15.331018,264.06323,-0.00035104933,0.0006185945,56.15119,-0.001130314,Sep,2,4,1,2,New_Visitor,False,False
6.0053434,187.9236,5.052161,109.00333,178.6169,10387.267,0.002843296,0.02118039,18.407654,-0.00033539286,Nov,2,2,3,2,Returning_Visitor,True,False
0.029992469,0.15800425,2.9827697,64.871475,23.586454,683.1904,0.015120158,0.038575485,71.70616,-0.0013824938,Nov,1,1,8,10,Returning_Visitor,False,False
3.0027802,347.81387,1.0001658,5.289858,28.513052,1094.6365,0.0055100988,0.0066484464,69.66288,-0.0012651099,Nov,2,2,5,2,Returning_Visitor,False,False
5.999541,144.99232,-0.027994774,0.6060886,32.14906,2263.9392,-0.00037682647,0.0013382907,62.465355,-0.0012164799,Nov,3,2,9,3,New_Visitor,True,False
5.964135,88.39428,1.9913254,158.57207,41.788788,1088.5504,0.0038478447,0.011694266,27.473143,-0.0010460106,Nov,2,2,9,8,New_Visitor,True,False
10.050451,302.947,-0.015659533,0.25464815,81.49659,1792.105,0.00046976996,0.002920701,16.438396,-0.00055138516,Nov,1,1,1,8,New_Visitor,True,False
2.0132377,38.3861,-0.017564021,0.5607547,2.6950574,31.888988,-0.00018667836,0.00083225855,55.5968,-0.0012398673,Sep,1,1,3,2,New_Visitor,False,False
5.9852495,201.5936,-0.012230836,0.49663728,83.2309,3656.6296,0.0065837153,0.017243838,66.284584,-0.0012061534,Nov,2,2,4,2,Returning_Visitor,False,False
2.9789798,105.75698,-0.021816991,0.6254062,24.813423,828.31555,0.0064254845,0.004325333,70.06454,-0.0009656039,Nov,2,2,1,2,Returning_Visitor,False,False
1.9722617,8.905143,-0.007108412,0.43905824,26.013517,618.87103,-7.60391e-05,0.008746876,36.008095,-0.0008633149,Nov,2,2,4,20,Returning_Visitor,False,False
-0.0009983706,1.6519237,-0.02440419,0.43275636,67.99714,1224.2913,0.0023140998,0.014494264,64.23868,-0.0011162324,Nov,4,1,1,1,Returning_Visitor,False,False
0.9993913,37.09472,-0.012508713,0.5174541,6.711661,1176.0812,-0.0003026075,0.028758094,77.26755,-0.0012805102,Nov,2,4,9,2,Returning_Visitor,False,False
-0.01096236,1.6002574,-0.011389516,0.40947145,6.747792,270.2657,0.024676902,0.05023322,55.61734,-0.0012834308,Nov,2,2,1,8,Returning_Visitor,False,False
3.0299842,230.54523,-0.0059498767,0.7023334,6.506449,381.5166,0.00021403808,0.0073199226,35.143658,-0.0009983865,Nov,1,1,3,5,Returning_Visitor,False,False
2.9956946,156.3562,1.0030262,-0.28410536,61.88437,2039.3047,0.006786207,0.025444837,17.662186,-0.00048784664,Nov,2,4,1,10,Returning_Visitor,True,False
6.966143,357.79236,0.004279532,-0.83757216,262.6828,10394.079,0.0036935245,0.0124929985,9.338153,-0.0001078484,Nov,2,2,3,2,Returning_Visitor,False,False
4.9219317,144.40846,1.0206012,8.333708,185.02022,3543.709,0.00041675536,0.004259865,140.12106,-0.0011133937,Oct,2,2,3,20,Returning_Visitor,False,False
8.001895,107.47352,0.0047969897,-1.1682988,375.0886,12354.113,0.002951957,0.009924541,7.0100627,0.00047102073,Nov,2,2,2,2,Returning_Visitor,True,False
1.9819189,19.296486,-0.017143033,-0.0804158,85.354805,2832.7593,0.0044867187,0.0132758645,37.467796,-0.0007463259,Nov,2,2,1,1,Returning_Visitor,True,False
11.063021,251.71378,-0.0054736356,-0.6029225,169.23466,8318.792,0.0029033215,0.01618166,8.448235,0.00080947083,Nov,4,1,1,8,Returning_Visitor,True,False
7.9999466,170.05945,-0.021038972,0.37547487,69.85225,2147.1868,-8.99691e-06,0.009113799,67.46555,-0.0010482086,Nov,2,4,5,2,Returning_Visitor,False,False
1.0572106,45.366226,0.98345524,71.48982,7.5070806,591.6912,0.018296266,0.03323965,26.352219,-0.0007927728,Nov,1,1,2,7,Returning_Visitor,False,False
2.023955,49.36288,1.011777,-0.12645157,64.14892,2011.8318,0.014664379,0.02303531,21.72302,-0.0005164531,Nov,1,1,1,2,Returning_Visitor,True,False
8.995005,241.96544,-0.014695905,0.32180208,25.01368,670.2233,0.002225151,0.0048894463,27.969578,-0.00077435496,Nov,1,1,3,2,New_Visitor,False,False
9.970517,392.33768,6.0302954,164.22685,279.02603,9198.2,0.0041196286,0.015797107,8.691977,-8.7783985e-05,Nov,2,2,7,2,Returning_Visitor,True,False
3.0099194,92.86184,1.9863111,1.6138476,22.886944,1353.2332,0.0077183484,0.021332221,32.57214,-0.0009949071,Nov,2,2,6,2,Returning_Visitor,False,False
6.938538,323.04947,4.0035963,215.55281,34.76424,912.6188,0.000120239,0.0097021,41.124043,-0.0011310963,Sep,2,4,3,5,New_Visitor,False,False
