Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.5416014,46.529217,0.20010225,7.2987976,25.088747,879.61993,0.011768537,0.037196007,0.62437123,0.0007046151,Mar,2,2,6,2,Returning_Visitor,False,False
1.9611114,54.585243,0.23665352,9.05822,30.842703,1180.175,0.0061366386,0.027265538,1.9046512,0.00059137,Nov,2,2,1,2,Returning_Visitor,False,False
0.70931625,15.102569,0.08519963,3.277916,23.495747,711.85724,0.055488672,0.0812561,0.43792412,0.6366246,May,2,2,1,9,Returning_Visitor,False,False
1.5038273,48.934135,0.120227344,2.9989262,21.721214,844.9008,0.015450175,0.0439767,0.6515114,0.000837526,Nov,2,2,4,3,Returning_Visitor,False,False
1.6947399,52.36824,0.111014105,4.457882,23.412437,906.8112,0.011301636,0.034154538,0.7996785,0.0001157845,Mar,2,2,2,2,Returning_Visitor,False,False
2.6923401,83.065254,0.36447352,22.740532,25.00117,806.90735,0.007011322,0.025465028,2.1286278,0.0020524326,May,2,2,1,4,Returning_Visitor,False,False
1.5453614,52.840714,0.27058646,9.607063,27.902645,1073.8547,0.011667185,0.035104126,0.9697172,-6.434446e-05,Dec,2,2,1,2,Returning_Visitor,False,False
2.4754636,57.182034,0.114409424,4.905464,27.695295,984.5848,0.0056333984,0.026332106,1.6888821,0.001995525,May,2,2,4,4,Returning_Visitor,False,False
1.6062956,48.614582,0.16209473,5.4605446,23.341959,896.87805,0.008911529,0.03166026,0.7521755,0.001100971,Mar,2,2,3,10,Returning_Visitor,False,False
8.259864,297.21277,2.2222528,99.62522,87.92791,3436.5737,0.0075018383,0.020540895,2.8532295,0.0014919104,Nov,2,2,1,1,Returning_Visitor,False,False
1.4712476,46.028492,0.17547236,8.748165,21.33538,763.6211,0.038869727,0.058646496,1.0752785,0.030637005,May,2,2,3,4,Returning_Visitor,False,False
0.06303037,1.7008967,0.0066216667,2.1898174,1.9922738,46.9322,0.18508847,0.188786,0.22993489,0.0012076596,Mar,3,2,3,1,Returning_Visitor,False,False
1.4030055,59.78931,0.1526248,6.601284,17.082445,635.6152,0.014058401,0.038715355,0.24931927,-0.00017274296,Mar,1,1,2,2,Returning_Visitor,False,False
3.7674756,122.35098,0.23658668,9.050953,30.346176,988.6679,0.010474638,0.029063739,1.3863828,-5.060189e-06,Oct,2,2,1,2,Returning_Visitor,False,False
1.0887442,32.241886,0.21008487,5.240093,15.108679,586.5632,0.044471845,0.065817565,0.31475994,0.00027292097,Nov,2,2,1,10,Returning_Visitor,False,False
1.3586745,29.37054,0.13969977,5.31361,23.473656,889.9518,0.0042553223,0.03262759,1.3883445,0.00023396933,Mar,4,1,1,1,Returning_Visitor,False,False
6.319867,205.82831,4.157375,444.85153,70.90265,2719.2615,0.00732209,0.0212552,6.462441,0.00037799278,May,2,2,3,2,Returning_Visitor,False,False
2.719958,85.483795,0.1797267,8.056849,18.79739,693.13165,0.009670945,0.027482973,0.814531,0.00016632551,May,1,1,1,8,Returning_Visitor,False,False
3.0048451,107.05896,0.32923165,19.889837,27.631739,880.06165,0.0150112305,0.034443855,4.9473968,-0.00015288717,Oct,1,1,3,2,Returning_Visitor,False,False
7.17013,241.38902,2.0516615,170.07648,226.01082,8751.671,0.005914045,0.020154389,1.3320501,-0.001712182,Nov,2,2,1,2,Returning_Visitor,False,False
1.504851,47.36409,0.15246533,9.984079,26.631672,1125.6792,0.03183617,0.05621048,0.42098066,0.00211428,May,2,2,3,13,Returning_Visitor,False,False
2.1670737,70.66309,0.14680044,5.983917,24.798132,827.70636,0.010596117,0.029810118,2.054292,0.024833335,May,1,1,1,4,Returning_Visitor,False,False
2.6786783,74.4177,0.095793106,4.715275,18.610197,693.78546,0.0006289907,0.01772455,0.4853141,0.0013252745,Nov,2,2,1,2,New_Visitor,False,False
0.39892936,11.359969,0.039108075,1.1104296,10.968479,436.5337,0.04400002,0.07152458,0.3612773,0.17731167,Feb,2,2,1,3,Returning_Visitor,False,False
1.1967968,66.85012,0.13360198,7.5355816,15.489918,648.7283,0.031954154,0.054556385,0.40696546,0.017797275,May,3,3,1,2,Returning_Visitor,False,False
1.7563655,58.173256,0.163922,7.511055,25.682386,973.6852,0.020078894,0.04304685,1.6963613,0.01872869,May,2,2,5,2,Returning_Visitor,False,False
1.2543651,26.843197,0.086577125,1.4451388,24.07408,892.257,0.014382226,0.04298118,1.6004307,0.007940087,Mar,2,2,1,1,Returning_Visitor,False,False
1.6600145,53.83974,0.1617771,4.465374,27.046976,983.1191,0.00380774,0.027695563,2.1300726,0.00094792125,Mar,2,4,4,2,Returning_Visitor,False,False
3.4271855,122.38027,0.30115277,11.444902,48.574875,1782.2618,0.014525976,0.03663359,1.5200207,8.36725e-05,Aug,2,2,1,1,Returning_Visitor,False,False
0.99182296,21.521214,0.139077,7.7679386,27.849722,885.8761,0.041230217,0.067788474,0.40956327,0.69673514,May,2,2,4,13,Returning_Visitor,False,False
3.211605,100.93415,0.65704656,45.04065,41.386555,1536.2299,0.004472613,0.022645084,2.4439855,0.0023850377,Nov,2,2,4,2,Returning_Visitor,False,False
0.9796829,31.757805,0.16585858,9.233496,17.332966,619.7876,0.035461705,0.064442575,0.28491566,0.6505969,May,1,1,1,2,Returning_Visitor,False,False
2.8203654,76.99803,0.24529119,12.737255,31.150711,1256.7758,0.0053787413,0.025721062,0.7946741,0.00033647814,Nov,2,2,3,2,Returning_Visitor,False,False
1.230208,35.530064,0.13705318,13.146084,17.758692,709.5098,0.008102987,0.03913787,0.9351923,0.000986206,May,2,2,3,6,Returning_Visitor,False,False
0.0875367,2.2013087,0.029982425,3.5825787,1.8340611,25.365185,0.18960133,0.19066031,0.31427833,0.0032633457,Mar,1,1,1,3,Returning_Visitor,False,False
1.5905415,44.51223,0.22125115,9.111107,25.188604,952.7935,0.008987992,0.031685133,0.3164117,0.000306836,Mar,2,2,4,2,Returning_Visitor,True,False
1.5139377,45.88644,0.21853732,11.392723,24.36825,832.1394,0.008931414,0.031948846,0.6584665,0.00015245625,May,2,5,3,2,Returning_Visitor,False,False
1.2611887,47.802532,0.12651493,3.575983,27.196373,913.4863,0.013983508,0.03957482,0.45634148,0.6436067,May,2,2,1,4,Returning_Visitor,False,False
0.028882392,-0.042313136,0.0011678416,1.4477252,1.6046071,46.616894,0.18970938,0.1919297,0.19673796,0.0011664281,Mar,2,2,1,1,Returning_Visitor,False,False
1.8852158,70.482155,0.16716455,11.261267,20.577057,769.292,0.024394678,0.04779992,1.8195632,0.004280551,Nov,2,2,1,20,Returning_Visitor,False,False
1.5480932,55.772537,0.12516527,5.376951,18.430185,731.003,0.013066164,0.042097636,0.5352799,0.0013970012,Mar,1,1,1,3,Returning_Visitor,False,False
2.2228441,62.15703,0.10567326,3.7611237,26.005102,1015.0122,0.008776085,0.035022236,1.3247259,0.0002529683,Dec,2,2,7,2,Returning_Visitor,False,False
3.3285675,112.497765,0.23190667,5.7104454,24.493782,820.0055,0.0093704695,0.026941303,1.0764058,-0.0012612952,Sep,2,2,1,2,Returning_Visitor,False,False
2.2215626,81.96045,0.26494843,15.786034,25.758495,1039.8829,0.00900169,0.031407617,2.7230992,0.00055935484,May,2,2,1,6,Returning_Visitor,False,False
4.022692,105.134605,0.25378767,12.29649,14.41559,348.45068,0.005795551,0.027252091,2.0485563,0.001519079,May,2,2,1,5,New_Visitor,False,False
1.411883,41.945435,0.15651403,8.538439,28.082832,1031.8379,0.013298896,0.039878845,0.76013964,1.8688537e-05,Nov,2,2,1,3,Returning_Visitor,True,False
1.7346525,67.24125,0.23581274,7.4721127,20.357098,702.95416,0.004365034,0.024648441,0.48306486,7.749597e-05,Nov,1,1,1,2,Returning_Visitor,False,False
1.4690781,55.472748,0.07846243,2.337387,17.055521,570.7562,0.031140845,0.05355364,0.16263027,0.014170325,May,1,8,1,11,Returning_Visitor,False,False
2.7652607,89.24144,0.34103033,21.805489,18.843193,740.2969,0.0049058828,0.023294147,0.83880347,-0.00062581274,Mar,2,2,1,8,New_Visitor,False,False
