model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.69,0.684,0.684,0.687,0.066,0.065,0.065,0.066,12.895,0.187,0.606,0.543,0.619,0.583,0.648,7e-06,original,27.0,5,,,,
rf,random,0.637,0.633,0.639,0.647,0.041,0.044,0.044,0.042,19.564,0.46,0.682,0.627,0.706,0.68,0.707,2e-05,original,27.0,5,,,,
svc,random,0.747,0.73,0.731,0.742,0.07,0.073,0.071,0.064,3.548,0.003,0.671,0.632,0.718,0.697,0.721,9e-06,original,27.0,5,,,,
logreg,random,0.727,0.711,0.712,0.722,0.066,0.067,0.064,0.059,6.091,0.151,0.662,0.609,0.689,0.662,0.719,0.0,original,27.0,5,,,,
mlp,random,0.7,0.695,0.699,0.705,0.067,0.067,0.064,0.062,8.83,0.043,0.669,0.614,0.693,0.666,0.719,2.7e-05,original,27.0,5,,,,
xgb,k-means,0.927,0.923,0.923,0.924,0.09,0.094,0.094,0.094,7.101,0.294,0.565,0.432,0.459,0.436,0.672,1.2e-05,original,0.002,5,,,,
rf,k-means,0.927,0.923,0.923,0.924,0.09,0.094,0.094,0.094,14.188,0.206,0.5,0.438,0.682,0.779,0.732,7e-06,original,0.002,5,,,,
svc,k-means,0.55,0.518,0.52,0.551,0.141,0.133,0.134,0.142,7.414,0.003,0.523,0.247,0.178,0.268,0.269,6e-06,original,0.002,5,,,,
logreg,k-means,0.683,0.67,0.669,0.678,0.207,0.213,0.214,0.21,7.778,0.116,0.682,0.634,0.714,0.691,0.756,0.0,original,0.002,5,,,,
mlp,k-means,0.497,0.486,0.487,0.496,0.177,0.185,0.187,0.181,7.026,0.043,0.698,0.648,0.727,0.705,0.769,2.5e-05,original,0.002,5,,,,
xgb,ag,0.863,0.859,0.863,0.873,0.169,0.175,0.17,0.159,7.261,0.083,0.545,0.346,0.327,0.347,0.693,9e-06,original,0.002,5,,,,
rf,ag,0.81,0.805,0.808,0.815,0.137,0.138,0.135,0.129,16.54,0.349,0.659,0.581,0.649,0.617,0.743,1.1e-05,original,0.002,5,,,,
svc,ag,0.52,0.355,0.332,0.484,0.04,0.085,0.096,0.058,7.532,0.004,0.5,0.181,0.08,0.221,0.397,7e-06,original,0.002,5,,,,
logreg,ag,0.613,0.603,0.605,0.613,0.109,0.114,0.109,0.101,6.472,0.121,0.606,0.578,0.678,0.654,0.635,0.0,original,0.002,5,,,,
mlp,ag,0.507,0.489,0.491,0.502,0.251,0.243,0.237,0.238,7.933,0.043,0.687,0.632,0.71,0.685,0.758,3.1e-05,original,0.002,5,,,,
xgb,k_center,0.587,0.582,0.585,0.589,0.14,0.137,0.136,0.137,5.046,0.051,0.514,0.263,0.206,0.277,0.543,7e-06,original,0.002,5,,,,
rf,k_center,0.633,0.618,0.616,0.625,0.148,0.151,0.151,0.145,14.631,0.097,0.512,0.213,0.127,0.244,0.588,5e-06,original,0.002,5,,,,
svc,k_center,0.687,0.655,0.65,0.669,0.113,0.125,0.129,0.119,9.388,0.003,0.501,0.185,0.086,0.224,0.428,9e-06,original,0.002,5,,,,
logreg,k_center,0.653,0.61,0.611,0.647,0.087,0.101,0.095,0.071,6.232,0.007,0.502,0.185,0.086,0.224,0.633,0.0,original,0.002,5,,,,
mlp,k_center,0.46,0.426,0.429,0.464,0.059,0.047,0.049,0.06,8.751,0.024,0.502,0.192,0.097,0.228,0.502,2.3e-05,original,0.002,5,,,,
xgb,craig,0.542,0.501,0.637,0.693,0.239,0.255,0.217,0.2,4.364,0.043,0.494,0.194,0.103,0.227,0.475,7e-06,original,0.002,5,,,,
rf,craig,0.425,0.302,0.37,0.467,0.15,0.111,0.18,0.219,15.753,0.229,0.495,0.201,0.113,0.232,0.534,1.1e-05,original,0.002,5,,,,
svc,craig,0.55,0.488,0.644,0.74,0.1,0.147,0.133,0.09,2.721,0.002,0.504,0.201,0.111,0.234,0.441,5e-06,original,0.002,5,,,,
logreg,craig,0.5,0.413,0.588,0.707,0.0,0.027,0.105,0.08,4.564,0.006,0.5,0.182,0.081,0.222,0.515,0.0,original,0.002,5,,,,
mlp,craig,0.542,0.481,0.627,0.7,0.179,0.183,0.172,0.161,7.025,0.048,0.555,0.414,0.433,0.416,0.565,2.2e-05,original,0.002,5,,,,
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.694,0.209,0.335,0.206,0.186,0.207,0.266,7e-06,original,0.002,5,,,,
rf,lc,0.963,0.963,0.963,0.964,0.045,0.045,0.045,0.045,15.024,0.317,0.323,0.254,0.28,0.257,0.268,8e-06,original,0.002,5,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.715,0.003,0.384,0.388,0.516,0.474,0.292,6e-06,original,0.002,5,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.278,0.007,0.357,0.357,0.469,0.42,0.274,0.0,original,0.002,5,,,,
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.888,1.43,0.34,0.285,0.327,0.293,0.285,3.8e-05,original,0.002,5,,,,
xgb,random,0.743,0.732,0.732,0.742,0.056,0.075,0.078,0.064,3.614,0.704,0.61,0.557,0.639,0.606,0.649,7e-06,original,27.0,6,,,,
rf,random,0.723,0.721,0.723,0.724,0.053,0.053,0.052,0.052,22.368,0.671,0.624,0.546,0.612,0.577,0.67,1.7e-05,original,27.0,6,,,,
svc,random,0.76,0.757,0.758,0.76,0.075,0.072,0.07,0.07,6.107,0.003,0.638,0.609,0.705,0.684,0.668,5e-06,original,27.0,6,,,,
logreg,random,0.757,0.756,0.757,0.758,0.093,0.095,0.095,0.095,9.479,0.27,0.574,0.502,0.57,0.532,0.604,0.0,original,27.0,6,,,,
mlp,random,0.733,0.733,0.736,0.74,0.035,0.037,0.038,0.04,8.657,0.286,0.618,0.553,0.628,0.593,0.656,6.4e-05,original,27.0,6,,,,
xgb,k-means,0.95,0.945,0.945,0.945,0.041,0.045,0.045,0.045,8.143,34.872,0.58,0.553,0.654,0.627,0.636,1.5e-05,original,0.002,6,,,,
rf,k-means,0.967,0.964,0.964,0.964,0.041,0.045,0.045,0.045,45.563,0.376,0.566,0.564,0.743,0.801,0.706,8e-06,original,0.002,6,,,,
svc,k-means,0.52,0.355,0.332,0.484,0.04,0.085,0.096,0.058,12.973,0.003,0.5,0.181,0.08,0.221,0.314,1.3e-05,original,0.002,6,,,,
logreg,k-means,0.65,0.616,0.611,0.635,0.151,0.171,0.176,0.16,9.752,3.376,0.603,0.571,0.668,0.641,0.639,0.0,original,0.002,6,,,,
mlp,k-means,0.55,0.538,0.536,0.544,0.202,0.206,0.207,0.204,12.112,0.088,0.699,0.656,0.737,0.717,0.769,2.1e-05,original,0.002,6,,,,
xgb,ag,0.907,0.903,0.904,0.905,0.086,0.088,0.088,0.086,5.124,0.078,0.616,0.601,0.709,0.695,0.672,7e-06,original,0.002,6,,,,
rf,ag,0.873,0.869,0.87,0.871,0.04,0.043,0.044,0.043,26.289,0.865,0.595,0.415,0.418,0.415,0.742,2.2e-05,original,0.002,6,,,,
svc,ag,0.5,0.317,0.294,0.464,0.0,0.008,0.02,0.018,6.303,0.003,0.5,0.181,0.08,0.221,0.395,1.5e-05,original,0.002,6,,,,
logreg,ag,0.58,0.564,0.563,0.575,0.076,0.064,0.062,0.069,8.534,0.218,0.603,0.576,0.675,0.651,0.629,0.0,original,0.002,6,,,,
mlp,ag,0.487,0.477,0.476,0.482,0.073,0.065,0.064,0.068,10.104,0.061,0.682,0.626,0.705,0.679,0.752,3.4e-05,original,0.002,6,,,,
xgb,k_center,0.583,0.574,0.573,0.578,0.151,0.151,0.152,0.153,6.152,5.109,0.593,0.499,0.554,0.518,0.63,2.1e-05,original,0.002,6,,,,
rf,k_center,0.483,0.474,0.477,0.484,0.09,0.087,0.082,0.082,23.329,0.265,0.537,0.279,0.223,0.293,0.643,1.1e-05,original,0.002,6,,,,
svc,k_center,0.65,0.642,0.642,0.649,0.138,0.146,0.147,0.143,9.401,0.009,0.501,0.184,0.084,0.223,0.471,8e-06,original,0.002,6,,,,
