model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.678,0.673,0.672,0.677,0.076,0.079,0.08,0.077,12.306,46.135,0.657,0.583,0.653,0.621,0.72,1e-05,original,0.01,5,,,,
rf,random,0.653,0.651,0.651,0.653,0.062,0.061,0.061,0.061,7.97,0.108,0.682,0.633,0.714,0.69,0.746,6e-06,original,0.01,5,,,,
svc,random,0.756,0.753,0.753,0.755,0.06,0.06,0.06,0.059,1.614,0.005,0.675,0.647,0.737,0.721,0.725,1.1e-05,original,0.01,5,,,,
logreg,random,0.73,0.724,0.724,0.728,0.074,0.076,0.077,0.075,3.174,0.112,0.656,0.61,0.694,0.668,0.715,0.0,original,0.01,5,,,,
mlp,random,0.703,0.7,0.7,0.703,0.089,0.091,0.091,0.089,5.431,9.636,0.684,0.637,0.718,0.695,0.735,2.1e-05,original,0.01,5,,,,
naive_bayes,random,0.62,0.572,0.572,0.619,0.041,0.081,0.081,0.041,7.027,0.001,0.622,0.643,0.779,0.809,0.691,1e-06,original,0.01,5,,,,
knn,random,0.687,0.682,0.682,0.686,0.133,0.132,0.132,0.133,4.486,0.001,0.623,0.605,0.71,0.695,0.668,5.2e-05,original,0.01,5,,,,
xgb,k-means,0.923,0.923,0.923,0.924,0.018,0.017,0.017,0.016,4.223,1.78,0.56,0.564,0.726,0.757,0.618,3e-06,original,0.01,5,,,,
rf,k-means,0.932,0.932,0.932,0.932,0.036,0.035,0.035,0.035,6.688,0.26,0.54,0.52,0.721,0.79,0.732,1e-05,original,0.01,5,,,,
svc,k-means,0.511,0.503,0.503,0.509,0.061,0.061,0.061,0.06,2.505,0.01,0.634,0.543,0.603,0.568,0.27,1.2e-05,original,0.01,5,,,,
