X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
144922.97,2,2,2,25.95812,0,0,0,0,0,0,141901.67,132095.69,138431.67,78724.45,46410.246,50903.812,7750.216,7443.5137,3773.3523,1761.6406,2759.6028,3780.354,0
280033.97,1,1,2,20.783964,-1,-1,3,-1,0,-1,-87615.89,830174.7,123325.805,94273.55,108443.42,15209.545,557962.6,952301.25,153860.19,-2896.6045,25999.623,-12151.782,0
303109.9,2,2,2,39.587162,4,-2,-2,-2,-2,-2,21484.242,-4662.826,-27634.35,217794.6,-12296.972,255175.48,2760.3909,-5769.458,210845.23,-3491.2622,293661.22,-1965.6674,0
219882.69,1,2,1,36.909176,1,-1,2,0,0,0,-109294.34,366597.22,388946.5,-57075.38,88813.22,12368.135,393763.3,-15823.876,12007.5625,2897.5986,16630.803,45089.05,0
272242.38,1,5,1,43.36794,0,0,0,0,-1,0,356253.78,257929.08,215189.61,-167233.36,192591.14,167946.55,9287.5625,10330.316,1523.3523,307878.06,8435.417,4946.3887,0
563402.0,1,1,1,60.67802,0,0,0,-1,0,0,579061.4,490106.88,538157.4,399423.6,354757.34,369783.38,26875.264,70991.14,321373.84,30910.58,15579.771,58957.594,0
162670.52,1,1,1,29.961618,1,2,0,0,0,0,225269.62,236018.34,188532.83,184886.12,215179.33,211366.81,3477.223,17045.691,2755.5232,169149.84,218219.1,-5493.1396,0
353975.94,1,3,1,53.016438,-1,-1,-1,-1,-1,-1,65241.8,67134.96,47776.316,40394.773,207496.62,88021.19,87080.766,56724.605,51685.523,184017.9,73705.9,11578.041,0
564127.75,1,3,1,63.2717,2,2,-1,3,4,6,467834.47,468915.53,440592.44,462105.38,420900.28,449907.0,24260.37,14052.727,34756.19,20525.367,30879.332,-1031.1195,0
436558.25,2,1,2,37.035835,-2,-2,-2,-2,-2,-2,6561.2188,-5801.924,-2506.2903,-5763.047,-9611.69,-1567.5272,724.53925,2468.3032,-641.42554,-643.86676,167400.3,-700.15027,0
448776.44,1,2,1,40.97696,0,-1,-1,0,0,0,96918.29,97853.29,268731.3,241271.48,67639.85,111746.62,108210.62,274219.7,21515.043,-6867.614,111800.64,42137.195,0
335897.8,1,1,2,33.59155,-2,-2,2,-1,0,0,8209.574,33922.574,-14539.423,446660.4,175431.33,118634.0,9826.83,-2773.9548,249934.97,-6580.611,-984.0145,8114.5215,0
416677.5,1,1,2,24.378038,1,-2,-2,-2,-1,-1,19641.967,63717.31,163982.34,27511.797,44667.99,8733.488,142790.88,170378.66,4960.508,42122.426,13005.616,15526.035,0
274885.34,2,1,2,27.500769,-2,-1,0,0,0,-1,-9203.395,55841.53,52839.062,1531.0896,28997.164,5534.832,207482.22,20593.951,1990.0693,-6363.1772,-2505.7449,170124.75,0
556145.3,1,2,1,37.77516,0,0,0,0,-1,-1,115900.41,95796.76,77116.73,26434.201,19893.94,254589.72,5057.565,6045.883,-1475.4036,834.4841,306590.03,6603.645,0
362818.38,1,2,2,34.976963,1,-1,0,0,0,0,358719.34,469370.44,427216.47,241848.81,285028.62,216526.5,399593.78,42272.43,9957.996,-14026.367,3456.2424,16411.018,0
501705.6,2,1,1,34.91577,1,-2,-2,-2,-2,-2,156.25797,13357.037,-2262.7122,-7729.918,5235.8677,-8381.277,499.6608,-1720.9625,2764.3733,-3252.0093,-2294.138,164550.25,0
48670.49,2,3,1,53.757866,-1,3,2,2,-1,0,2087.262,5775.998,2919.9597,8514.941,58072.473,62008.08,1083.4677,2090.2095,-729.8723,125416.94,2924.8428,1911.3883,0
631491.3,2,3,2,33.65428,0,0,0,0,0,-1,403065.5,405407.0,386017.56,349375.06,352182.03,171653.02,18404.672,29891.19,6350.7446,14014.641,166366.3,102722.6,0
496626.5,1,5,1,32.208427,0,0,0,0,-1,-1,235527.55,213373.14,219178.1,19419.625,82756.97,-11981.125,16124.663,230641.22,47701.74,103498.12,-4332.54,85754.82,0
224150.2,1,2,1,55.38425,0,0,2,0,0,0,10911.355,266499.78,256689.62,214320.86,201762.44,185866.97,209724.05,-1352.3234,6989.8564,3381.3154,8206.373,12258.96,0
380178.3,1,2,2,32.79481,1,-1,-1,-2,-2,-2,192114.52,140766.94,4786.7056,1583.6013,7129.184,1250.3243,158169.66,-783.0504,799.76294,-1029.666,-1556.4803,2128.658,0
461253.44,1,2,2,34.71651,-2,-2,-2,-1,-1,0,19793.295,25792.172,-340.79813,-5568.3867,149938.02,144804.98,2149.0894,3771.1082,1434.4812,143737.27,7021.8926,2763.911,0
276347.06,2,2,1,27.887278,0,0,0,0,-1,0,393080.62,322640.97,290489.75,8178.34,310236.34,291585.8,15627.174,23755.65,-531.41724,224077.73,11946.227,11841.493,0
210878.52,2,1,2,45.3598,-1,-1,-1,-1,-1,-1,29691.666,8399.854,174977.03,132815.48,50753.535,-798.5273,1193.5416,180841.88,121380.06,54057.08,140.31264,176.25206,0
271409.22,1,1,2,29.688768,-1,-1,-1,-1,0,0,8881.652,-10051.334,-6598.3296,8082.949,7285.5435,124078.766,4273.806,1358.6742,17145.084,1366.7322,104926.95,-1409.3212,0
63174.44,1,1,1,65.477196,1,-1,-1,2,2,2,1120.3322,5678.252,1447.987,9796.691,3778.5864,144.14069,10397.553,9924.647,725.876,1000.4423,-458.66003,813.4198,0
496959.22,2,1,1,51.320717,-2,-2,-2,-2,-2,-2,133812.77,67957.77,47166.297,159851.72,86176.46,28783.086,52852.97,63826.01,165548.86,85902.44,34040.406,66505.1,0
357671.72,2,2,2,26.210386,2,2,2,2,2,2,309412.62,328970.16,299848.16,305959.4,308288.66,289434.9,12305.555,-2223.1946,21486.299,3097.6216,-4551.126,143713.08,0
495608.4,2,2,2,32.81401,0,0,-1,0,0,0,-1860.8085,23404.15,436248.3,213702.45,221334.33,228721.48,5349.0396,240769.55,2842.6292,1212.4124,7031.426,6375.858,0
258682.36,1,1,1,43.537003,3,3,4,4,4,4,240641.94,276731.1,274643.0,262808.78,298739.94,262215.44,19873.451,17342.576,17163.88,8776.516,-1557.1581,63.033802,0
527443.6,1,1,2,29.029846,0,0,0,0,0,0,458476.78,437257.6,459190.56,429894.5,386626.03,400601.56,19946.234,146524.98,42962.58,9084.361,10200.526,10606.617,0
425587.88,1,1,2,33.270527,-1,-1,-1,0,0,0,364582.22,206583.66,82062.98,180806.73,25385.092,15551.877,192604.48,179151.94,99264.31,-597.6451,-1482.6,9615.502,0
174226.0,1,2,1,51.862106,-2,-2,-1,0,0,-2,5388.9297,-232.5998,148276.94,24578.203,4095.6724,4916.9062,505.70523,149782.8,1609.2896,4900.296,2104.8564,5519.208,0
547112.44,1,1,2,36.04472,0,-1,-1,0,0,0,141851.11,70674.18,142593.88,534009.75,377796.78,349781.47,15264.372,170650.77,331539.34,7568.108,-2896.6604,23479.953,0
100272.45,2,3,2,28.385101,3,2,2,2,5,4,3156.0002,-1369.8732,44.76439,115.19117,-945.5853,5751.199,-473.07944,1296.2426,67.063705,-426.10748,509.912,520.19617,0
239939.62,2,1,1,31.18583,1,-1,0,0,0,0,-66943.51,62943.254,244017.73,185361.5,162622.64,158984.97,205585.67,200205.03,7068.7173,-1227.4038,2130.2063,7050.0703,0
388778.06,2,2,2,42.472622,0,0,0,-1,-1,0,53394.574,40492.375,3909.9949,3620.8787,141602.69,267292.4,4071.1484,7445.635,16650.475,137165.34,166941.11,5906.2925,0
406765.47,1,1,2,32.576744,0,0,0,-2,-2,-1,205527.81,208863.31,-2207.4778,427.3357,-3034.7925,90447.086,9846.384,-881.1935,4.9787464,-518.5455,89421.33,104891.18,0
288111.9,2,2,1,33.186565,-2,-1,0,0,0,0,9353.172,35779.99,14760.056,13150.0625,18336.922,-95292.25,19801.922,11060.691,8524.054,-1143.7925,7349.383,227707.47,0
12250.245,1,3,2,57.161266,-1,-1,-2,-1,-1,-1,2908.8284,1304.5682,99.58861,18192.512,-1384.4877,942.17584,657.79706,-220.21693,19290.822,411.11786,812.99915,-29.407604,0
137398.69,2,3,1,42.080753,1,-1,0,0,-2,-2,-2308.9177,52929.805,49629.78,883.074,145779.31,156170.66,55745.09,6952.975,48.93236,153939.4,11291.422,-1479.3446,0
146777.36,2,2,3,27.112812,-2,-2,-2,-2,-2,-2,7674.6133,36633.816,1092.448,44410.086,12466.247,5117.2383,25036.191,4519.987,53322.41,11486.302,1012.7086,2503.7449,0
