model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,11.623,0.04,0.743,0.665,0.791,0.764,0.802,3e-06,original,10,5,,,,
rf,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,14.77,0.243,0.754,0.656,0.776,0.744,0.804,1.6e-05,original,10,5,,,,
svc,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,5.021,0.002,0.638,0.522,0.643,0.586,0.477,3e-06,original,10,5,,,,
logreg,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,6.888,0.085,0.713,0.614,0.74,0.7,0.775,0.0,original,10,5,,,,
mlp,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,7.046,0.025,0.714,0.616,0.743,0.704,0.776,5e-06,original,10,5,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.262,0.021,0.804,0.803,0.896,0.896,0.874,6e-06,original,10,5,,,,
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,14.325,0.277,0.767,0.717,0.836,0.822,0.846,1.5e-05,original,10,5,,,,
svc,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.634,0.001,0.823,0.785,0.88,0.873,0.896,3e-06,original,10,5,,,,
logreg,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.513,0.011,0.796,0.784,0.885,0.882,0.861,0.0,original,10,5,,,,
mlp,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.471,0.048,0.798,0.761,0.866,0.858,0.871,5.6e-05,original,10,5,,,,
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,3.404,0.022,0.771,0.78,0.886,0.888,0.862,2e-06,original,10,5,,,,
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,14.963,0.28,0.783,0.72,0.834,0.818,0.859,1.8e-05,original,10,5,,,,
svc,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.996,0.001,0.799,0.769,0.872,0.866,0.844,2e-06,original,10,5,,,,
logreg,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,5.135,0.012,0.806,0.783,0.882,0.878,0.858,0.0,original,10,5,,,,
mlp,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.653,0.05,0.764,0.693,0.814,0.792,0.832,5e-05,original,10,5,,,,
xgb,k_center,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,6.558,0.013,0.793,0.795,0.893,0.893,0.845,4e-06,original,10,5,,,,
rf,k_center,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,15.325,0.316,0.757,0.636,0.751,0.712,0.857,3.1e-05,original,10,5,,,,
svc,k_center,0.6,0.587,0.587,0.6,0.255,0.267,0.267,0.255,5.993,0.001,0.496,0.135,0.044,0.155,0.383,8e-06,original,10,5,,,,
logreg,k_center,0.6,0.587,0.587,0.6,0.255,0.267,0.267,0.255,6.248,0.006,0.491,0.136,0.047,0.155,0.591,0.0,original,10,5,,,,
mlp,k_center,0.45,0.42,0.42,0.45,0.292,0.312,0.312,0.292,6.504,0.023,0.671,0.59,0.727,0.686,0.727,4.3e-05,original,10,5,,,,
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.535,0.026,0.835,0.792,0.883,0.876,0.871,1.9e-05,original,10,6,,,,
rf,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,17.476,0.597,0.828,0.736,0.837,0.818,0.865,2.8e-05,original,10,6,,,,
