age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
58.011215,Self-emp-not-inc,193012.16,HS-grad,9.004855,Divorced,Machine-op-inspct,Unmarried,White,Male,9.779889,0.13852581,20.041924,United-States,<=50K
24.466146,Private,461645.53,1st-4th,2.068565,Married-civ-spouse,Farming-fishing,Husband,White,Male,95.97496,-0.3128139,96.376,Mexico,<=50K
75.244736,Private,66027.32,Preschool,1.155991,Never-married,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,94.96092,0.41853222,47.847256,Philippines,<=50K
31.12038,Local-gov,378113.7,Prof-school,15.001516,Married-civ-spouse,Prof-specialty,Husband,White,Male,6.06236,-0.44787708,98.20857,Columbia,<=50K
26.895594,Private,495546.9,Bachelors,13.009851,Never-married,Tech-support,Not-in-family,Black,Female,43.833843,-0.17403522,39.977913,France,<=50K
64.50209,State-gov,103249.83,1st-4th,1.9327654,Married-civ-spouse,Farming-fishing,Husband,Other,Male,87.75438,0.116835445,45.082993,Columbia,<=50K
19.974882,?,143577.11,Some-college,10.007123,Never-married,?,Own-child,Asian-Pac-Islander,Female,47.69444,1601.0322,39.941334,Taiwan,<=50K
24.992998,Private,124114.08,Assoc-acdm,12.010101,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,33.869,-0.50097764,40.010838,Jamaica,<=50K
30.059444,Private,20903.324,Preschool,1.1822122,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,99.20982,0.22229657,24.923113,United-States,<=50K
63.159454,Self-emp-not-inc,804131.75,1st-4th,1.9844621,Widowed,Other-service,Unmarried,White,Female,110.82286,-1.1954585,29.979084,El-Salvador,<=50K
49.96629,Self-emp-not-inc,31501.527,Masters,14.0048485,Married-civ-spouse,Farming-fishing,Husband,White,Male,2101.8171,-0.661729,97.352104,United-States,<=50K
19.103697,Private,162359.36,Some-college,10.019264,Married-AF-spouse,Handlers-cleaners,Wife,White,Female,58.496197,0.02396283,39.990402,United-States,<=50K
29.365826,Private,174693.31,10th,6.023594,Never-married,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,86.24132,0.017821167,39.996346,Vietnam,<=50K
26.11465,Federal-gov,56077.76,Prof-school,15.047799,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,16.764019,0.44952282,19.838114,South,<=50K
48.950783,Private,119444.34,5th-6th,3.0584126,Married-civ-spouse,Other-service,Husband,White,Male,51.27476,2615.1133,39.930042,Greece,<=50K
37.962868,State-gov,199100.17,Doctorate,16.018608,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,33.32652,-0.83528244,39.951523,Taiwan,<=50K
